gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,5459,4800,659
E05009317,Bethnal Green,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1117,1159,-42
E05009317,Bethnal Green,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,1184,857,327
E05009317,Bethnal Green,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1893,1698,195
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,7792,4822,2970
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,2691,2094,597
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,879,419,460
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1436,810,626
E05009319,Bow East,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,6935,4686,2249
E05009319,Bow East,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1594,1403,191
E05009319,Bow East,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,922,548,374
E05009319,Bow East,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1429,1087,342
E05009320,Bow West,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,4327,3731,596
E05009320,Bow West,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1055,1037,18
E05009320,Bow West,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,726,545,181
E05009320,Bow West,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1142,1051,91
E05009321,Bromley North,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,2974,2106,868
E05009321,Bromley North,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,561,473,88
E05009321,Bromley North,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,618,384,234
E05009321,Bromley North,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1112,784,328
E05009322,Bromley South,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,3932,1816,2116
E05009322,Bromley South,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,738,321,417
E05009322,Bromley South,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,714,335,379
E05009322,Bromley South,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1220,797,423
E05009323,Canary Wharf,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,6241,4004,2237
E05009323,Canary Wharf,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,2512,2550,-38
E05009323,Canary Wharf,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,747,374,373
E05009323,Canary Wharf,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1132,630,502
E05009324,Island Gardens,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,5042,4832,210
E05009324,Island Gardens,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1157,1758,-601
E05009324,Island Gardens,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,731,412,319
E05009324,Island Gardens,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1086,842,244
E05009325,Lansbury,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,5519,2843,2676
E05009325,Lansbury,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,978,535,443
E05009325,Lansbury,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,1098,548,550
E05009325,Lansbury,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1832,1318,514
E05009326,Limehouse,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,2627,2077,550
E05009326,Limehouse,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,827,1286,-459
E05009326,Limehouse,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,349,172,177
E05009326,Limehouse,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,472,367,105
E05009327,Mile End,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,5967,3542,2425
E05009327,Mile End,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1249,868,381
E05009327,Mile End,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,1125,693,432
E05009327,Mile End,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1915,1489,426
E05009328,Poplar,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,1848,1635,213
E05009328,Poplar,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,392,332,60
E05009328,Poplar,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,400,274,126
E05009328,Poplar,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,741,636,105
E05009329,St Dunstan's,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,3275,2224,1051
E05009329,St Dunstan's,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,606,428,178
E05009329,St Dunstan's,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,773,580,193
E05009329,St Dunstan's,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1246,1025,221
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,4680,3988,692
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1817,2298,-481
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,527,313,214
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,776,593,183
E05009331,St Peter's,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,5784,4959,825
E05009331,St Peter's,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1268,1294,-26
E05009331,St Peter's,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,1026,738,288
E05009331,St Peter's,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1766,1627,139
E05009332,Shadwell,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,2804,2332,472
E05009332,Shadwell,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,511,644,-133
E05009332,Shadwell,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,687,534,153
E05009332,Shadwell,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1318,1081,237
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,3535,3170,365
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1176,1404,-228
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,721,574,147
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,991,1014,-23
E05009334,Stepney Green,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,2694,2358,336
E05009334,Stepney Green,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,530,521,9
E05009334,Stepney Green,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,743,537,206
E05009334,Stepney Green,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1268,1076,192
E05009335,Weavers,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,3930,3669,261
E05009335,Weavers,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1220,1226,-6
E05009335,Weavers,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,694,498,196
E05009335,Weavers,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1045,1069,-24
E05009336,Whitechapel,E09000030,Tower Hamlets,Full-time: 31 to 48 hours worked,5299,3937,1362
E05009336,Whitechapel,E09000030,Tower Hamlets,Full-time: 49 or more hours worked,1888,1802,86
E05009336,Whitechapel,E09000030,Tower Hamlets,Part-time: 15 hours or less worked,978,560,418
E05009336,Whitechapel,E09000030,Tower Hamlets,Part-time: 16 to 30 hours worked,1420,1019,401
E05009367,Brownswood,E09000012,Hackney,Full-time: 31 to 48 hours worked,3372,3199,173
E05009367,Brownswood,E09000012,Hackney,Full-time: 49 or more hours worked,768,902,-134
E05009367,Brownswood,E09000012,Hackney,Part-time: 15 hours or less worked,497,367,130
E05009367,Brownswood,E09000012,Hackney,Part-time: 16 to 30 hours worked,722,627,95
E05009368,Cazenove,E09000012,Hackney,Full-time: 31 to 48 hours worked,3172,3199,-27
E05009368,Cazenove,E09000012,Hackney,Full-time: 49 or more hours worked,592,706,-114
E05009368,Cazenove,E09000012,Hackney,Part-time: 15 hours or less worked,931,624,307
E05009368,Cazenove,E09000012,Hackney,Part-time: 16 to 30 hours worked,2113,1642,471
E05009369,Clissold,E09000012,Hackney,Full-time: 31 to 48 hours worked,4358,4275,83
E05009369,Clissold,E09000012,Hackney,Full-time: 49 or more hours worked,985,1139,-154
E05009369,Clissold,E09000012,Hackney,Part-time: 15 hours or less worked,678,467,211
E05009369,Clissold,E09000012,Hackney,Part-time: 16 to 30 hours worked,1195,1224,-29
E05009370,Dalston,E09000012,Hackney,Full-time: 31 to 48 hours worked,3627,2860,767
