gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,Bicycle,622,737,-115
E05009317,Bethnal Green,E09000030,Tower Hamlets,"Bus, minibus or coach",699,1149,-450
E05009317,Bethnal Green,E09000030,Tower Hamlets,Driving a car or van,1006,934,72
E05009317,Bethnal Green,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",56,64,-8
E05009317,Bethnal Green,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,11547,6687,4860
E05009317,Bethnal Green,E09000030,Tower Hamlets,On foot,1030,1220,-190
E05009317,Bethnal Green,E09000030,Tower Hamlets,Other method of travel to work,112,80,32
E05009317,Bethnal Green,E09000030,Tower Hamlets,Passenger in a car or van,79,93,-14
E05009317,Bethnal Green,E09000030,Tower Hamlets,Taxi,42,40,2
E05009317,Bethnal Green,E09000030,Tower Hamlets,Train,444,510,-66
E05009317,Bethnal Green,E09000030,Tower Hamlets,"Underground, metro, light rail, tram",1290,3385,-2095
E05009317,Bethnal Green,E09000030,Tower Hamlets,Work mainly at or from home,4273,303,3970
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Bicycle,274,229,45
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"Bus, minibus or coach",384,476,-92
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Driving a car or van,876,850,26
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",35,55,-20
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,9035,3265,5770
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,On foot,799,1539,-740
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Other method of travel to work,111,60,51
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Passenger in a car or van,66,56,10
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Taxi,52,38,14
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Train,479,447,32
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"Underground, metro, light rail, tram",1913,4097,-2184
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Work mainly at or from home,7803,298,7505
E05009319,Bow East,E09000030,Tower Hamlets,Bicycle,759,721,38
E05009319,Bow East,E09000030,Tower Hamlets,"Bus, minibus or coach",657,1039,-382
E05009319,Bow East,E09000030,Tower Hamlets,Driving a car or van,928,940,-12
E05009319,Bow East,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",52,77,-25
E05009319,Bow East,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,8636,3915,4721
E05009319,Bow East,E09000030,Tower Hamlets,On foot,650,621,29
E05009319,Bow East,E09000030,Tower Hamlets,Other method of travel to work,92,38,54
E05009319,Bow East,E09000030,Tower Hamlets,Passenger in a car or van,57,68,-11
E05009319,Bow East,E09000030,Tower Hamlets,Taxi,78,35,43
E05009319,Bow East,E09000030,Tower Hamlets,Train,363,416,-53
E05009319,Bow East,E09000030,Tower Hamlets,"Underground, metro, light rail, tram",1308,3519,-2211
E05009319,Bow East,E09000030,Tower Hamlets,Work mainly at or from home,5917,250,5667
