gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2607,1424,1183
E05009317,Bethnal Green,E09000030,Tower Hamlets,L10 and L11: Lower supervisory and technical occupations,663,771,-108
E05009317,Bethnal Green,E09000030,Tower Hamlets,L12: Semi-routine occupations,1422,1440,-18
E05009317,Bethnal Green,E09000030,Tower Hamlets,L13: Routine occupations,1299,1039,260
E05009317,Bethnal Green,E09000030,Tower Hamlets,L14.1 and L14.2: Never worked and long-term unemployed,2314,1940,374
E05009317,Bethnal Green,E09000030,Tower Hamlets,L15: Full-time students,3178,3392,-214
E05009317,Bethnal Green,E09000030,Tower Hamlets,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3056,3011,45
E05009317,Bethnal Green,E09000030,Tower Hamlets,L7: Intermediate occupations,1363,1382,-19
E05009317,Bethnal Green,E09000030,Tower Hamlets,L8 and L9: Small employers and own account workers,1207,801,406
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"L1, L2 and L3: Higher managerial, administrative and professional occupations",5891,2717,3174
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L10 and L11: Lower supervisory and technical occupations,514,424,90
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L12: Semi-routine occupations,1020,735,285
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L13: Routine occupations,859,478,381
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L14.1 and L14.2: Never worked and long-term unemployed,1678,958,720
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L15: Full-time students,2451,1299,1152
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3608,3055,553
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L7: Intermediate occupations,1293,1126,167
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,L8 and L9: Small employers and own account workers,1204,620,584
