gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1097,697,400
E05009317,Bethnal Green,E09000030,Tower Hamlets,2. Professional occupations,2725,1914,811
E05009317,Bethnal Green,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1725,1674,51
E05009317,Bethnal Green,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,767,861,-94
E05009317,Bethnal Green,E09000030,Tower Hamlets,5. Skilled trades occupations,533,566,-33
E05009317,Bethnal Green,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",669,613,56
E05009317,Bethnal Green,E09000030,Tower Hamlets,7. Sales and customer service occupations,816,813,3
E05009317,Bethnal Green,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",474,350,124
E05009317,Bethnal Green,E09000030,Tower Hamlets,9. Elementary occupations,859,1025,-166
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",2135,1227,908
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,2. Professional occupations,4769,2540,2229
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,3. Associate professional and technical occupations,2330,1847,483
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,887,802,85
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,5. Skilled trades occupations,457,359,98
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",518,352,166
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,7. Sales and customer service occupations,679,351,328
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",360,183,177
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,9. Elementary occupations,651,485,166
E05009319,Bow East,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1629,704,925
E05009319,Bow East,E09000030,Tower Hamlets,2. Professional occupations,3521,2062,1459
E05009319,Bow East,E09000030,Tower Hamlets,3. Associate professional and technical occupations,2252,1658,594
E05009319,Bow East,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,691,783,-92
E05009319,Bow East,E09000030,Tower Hamlets,5. Skilled trades occupations,462,461,1
E05009319,Bow East,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",647,544,103
E05009319,Bow East,E09000030,Tower Hamlets,7. Sales and customer service occupations,569,561,8
E05009319,Bow East,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",399,263,136
E05009319,Bow East,E09000030,Tower Hamlets,9. Elementary occupations,710,688,22
E05009320,Bow West,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",918,644,274
E05009320,Bow West,E09000030,Tower Hamlets,2. Professional occupations,2257,1672,585
E05009320,Bow West,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1478,1246,232
E05009320,Bow West,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,536,643,-107
E05009320,Bow West,E09000030,Tower Hamlets,5. Skilled trades occupations,356,368,-12
E05009320,Bow West,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",392,397,-5
E05009320,Bow West,E09000030,Tower Hamlets,7. Sales and customer service occupations,424,501,-77
E05009320,Bow West,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",288,254,34
E05009320,Bow West,E09000030,Tower Hamlets,9. Elementary occupations,602,639,-37
E05009321,Bromley North,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",522,271,251
E05009321,Bromley North,E09000030,Tower Hamlets,2. Professional occupations,1383,725,658
E05009321,Bromley North,E09000030,Tower Hamlets,3. Associate professional and technical occupations,837,598,239
E05009321,Bromley North,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,395,391,4
E05009321,Bromley North,E09000030,Tower Hamlets,5. Skilled trades occupations,324,328,-4
E05009321,Bromley North,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",401,290,111
E05009321,Bromley North,E09000030,Tower Hamlets,7. Sales and customer service occupations,500,439,61
E05009321,Bromley North,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",307,184,123
E05009321,Bromley North,E09000030,Tower Hamlets,9. Elementary occupations,593,523,70
E05009322,Bromley South,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",678,235,443
E05009322,Bromley South,E09000030,Tower Hamlets,2. Professional occupations,1864,580,1284
E05009322,Bromley South,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1089,477,612
E05009322,Bromley South,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,512,386,126
E05009322,Bromley South,E09000030,Tower Hamlets,5. Skilled trades occupations,359,298,61
E05009322,Bromley South,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",516,260,256
E05009322,Bromley South,E09000030,Tower Hamlets,7. Sales and customer service occupations,554,347,207
E05009322,Bromley South,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",386,199,187
E05009322,Bromley South,E09000030,Tower Hamlets,9. Elementary occupations,631,483,148
E05009323,Canary Wharf,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1886,1435,451
E05009323,Canary Wharf,E09000030,Tower Hamlets,2. Professional occupations,4271,2381,1890
E05009323,Canary Wharf,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1827,1770,57
E05009323,Canary Wharf,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,704,712,-8
E05009323,Canary Wharf,E09000030,Tower Hamlets,5. Skilled trades occupations,311,213,98
E05009323,Canary Wharf,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",386,259,127
E05009323,Canary Wharf,E09000030,Tower Hamlets,7. Sales and customer service occupations,498,309,189
E05009323,Canary Wharf,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",263,140,123
E05009323,Canary Wharf,E09000030,Tower Hamlets,9. Elementary occupations,483,341,142
E05009324,Island Gardens,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1280,1089,191
E05009324,Island Gardens,E09000030,Tower Hamlets,2. Professional occupations,2670,2473,197
E05009324,Island Gardens,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1316,1636,-320
E05009324,Island Gardens,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,613,832,-219
E05009324,Island Gardens,E09000030,Tower Hamlets,5. Skilled trades occupations,394,377,17
E05009324,Island Gardens,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",396,347,49
E05009324,Island Gardens,E09000030,Tower Hamlets,7. Sales and customer service occupations,481,391,90
E05009324,Island Gardens,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",290,198,92
E05009324,Island Gardens,E09000030,Tower Hamlets,9. Elementary occupations,593,500,93
E05009325,Lansbury,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1052,379,673
E05009325,Lansbury,E09000030,Tower Hamlets,2. Professional occupations,2387,782,1605
E05009325,Lansbury,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1528,724,804
E05009325,Lansbury,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,778,603,175
E05009325,Lansbury,E09000030,Tower Hamlets,5. Skilled trades occupations,621,499,122
E05009325,Lansbury,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",730,485,245
E05009325,Lansbury,E09000030,Tower Hamlets,7. Sales and customer service occupations,753,563,190
E05009325,Lansbury,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",599,373,226
E05009325,Lansbury,E09000030,Tower Hamlets,9. Elementary occupations,1005,834,171
E05009326,Limehouse,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",743,694,49
E05009326,Limehouse,E09000030,Tower Hamlets,2. Professional occupations,1604,1272,332
E05009326,Limehouse,E09000030,Tower Hamlets,3. Associate professional and technical occupations,806,898,-92
E05009326,Limehouse,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,260,335,-75
E05009326,Limehouse,E09000030,Tower Hamlets,5. Skilled trades occupations,128,123,5
E05009326,Limehouse,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",174,152,22
E05009326,Limehouse,E09000030,Tower Hamlets,7. Sales and customer service occupations,145,165,-20
E05009326,Limehouse,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",84,82,2
E05009326,Limehouse,E09000030,Tower Hamlets,9. Elementary occupations,335,183,152
E05009327,Mile End,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1122,480,642
E05009327,Mile End,E09000030,Tower Hamlets,2. Professional occupations,2853,1377,1476
E05009327,Mile End,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1720,1041,679
E05009327,Mile End,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,808,640,168
E05009327,Mile End,E09000030,Tower Hamlets,5. Skilled trades occupations,613,564,49
E05009327,Mile End,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",776,525,251
E05009327,Mile End,E09000030,Tower Hamlets,7. Sales and customer service occupations,769,705,64
E05009327,Mile End,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",582,361,221
E05009327,Mile End,E09000030,Tower Hamlets,9. Elementary occupations,1011,899,112
E05009328,Poplar,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",348,238,110
E05009328,Poplar,E09000030,Tower Hamlets,2. Professional occupations,853,577,276
E05009328,Poplar,E09000030,Tower Hamlets,3. Associate professional and technical occupations,501,408,93
E05009328,Poplar,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,235,312,-77
E05009328,Poplar,E09000030,Tower Hamlets,5. Skilled trades occupations,237,273,-36
E05009328,Poplar,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",278,225,53
E05009328,Poplar,E09000030,Tower Hamlets,7. Sales and customer service occupations,332,298,34
E05009328,Poplar,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",211,139,72
E05009328,Poplar,E09000030,Tower Hamlets,9. Elementary occupations,391,406,-15
E05009329,St Dunstan's,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",578,323,255
E05009329,St Dunstan's,E09000030,Tower Hamlets,2. Professional occupations,1636,952,684
E05009329,St Dunstan's,E09000030,Tower Hamlets,3. Associate professional and technical occupations,954,640,314
E05009329,St Dunstan's,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,470,455,15
E05009329,St Dunstan's,E09000030,Tower Hamlets,5. Skilled trades occupations,341,341,0
E05009329,St Dunstan's,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",439,346,93
E05009329,St Dunstan's,E09000030,Tower Hamlets,7. Sales and customer service occupations,512,463,49
E05009329,St Dunstan's,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",378,230,148
E05009329,St Dunstan's,E09000030,Tower Hamlets,9. Elementary occupations,581,511,70
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1536,1235,301
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,2. Professional occupations,3114,2515,599
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1523,1789,-266
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,461,636,-175
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,5. Skilled trades occupations,191,213,-22
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",231,188,43
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,7. Sales and customer service occupations,249,250,-1
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",173,121,52
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,9. Elementary occupations,313,245,68
E05009331,St Peter's,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",1189,705,484
E05009331,St Peter's,E09000030,Tower Hamlets,2. Professional occupations,2892,2176,716
E05009331,St Peter's,E09000030,Tower Hamlets,3. Associate professional and technical occupations,2026,1932,94
E05009331,St Peter's,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,651,783,-132
E05009331,St Peter's,E09000030,Tower Hamlets,5. Skilled trades occupations,468,540,-72
E05009331,St Peter's,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",605,523,82
E05009331,St Peter's,E09000030,Tower Hamlets,7. Sales and customer service occupations,689,759,-70
E05009331,St Peter's,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",509,330,179
E05009331,St Peter's,E09000030,Tower Hamlets,9. Elementary occupations,825,875,-50
E05009332,Shadwell,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",474,402,72
E05009332,Shadwell,E09000030,Tower Hamlets,2. Professional occupations,1240,899,341
E05009332,Shadwell,E09000030,Tower Hamlets,3. Associate professional and technical occupations,811,723,88
E05009332,Shadwell,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,455,462,-7
E05009332,Shadwell,E09000030,Tower Hamlets,5. Skilled trades occupations,373,402,-29
E05009332,Shadwell,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",446,331,115
E05009332,Shadwell,E09000030,Tower Hamlets,7. Sales and customer service occupations,539,532,7
E05009332,Shadwell,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",356,261,95
E05009332,Shadwell,E09000030,Tower Hamlets,9. Elementary occupations,637,586,51
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",811,698,113
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,2. Professional occupations,2118,1539,579
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1222,1502,-280
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,422,601,-179
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,5. Skilled trades occupations,285,315,-30
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",332,288,44
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,7. Sales and customer service occupations,459,498,-39
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",287,171,116
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,9. Elementary occupations,488,549,-61
E05009334,Stepney Green,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",482,343,139
E05009334,Stepney Green,E09000030,Tower Hamlets,2. Professional occupations,1144,813,331
E05009334,Stepney Green,E09000030,Tower Hamlets,3. Associate professional and technical occupations,799,712,87
E05009334,Stepney Green,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,490,520,-30
E05009334,Stepney Green,E09000030,Tower Hamlets,5. Skilled trades occupations,352,334,18
E05009334,Stepney Green,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",487,393,94
E05009334,Stepney Green,E09000030,Tower Hamlets,7. Sales and customer service occupations,488,521,-33
E05009334,Stepney Green,E09000030,Tower Hamlets,"8. Process, plant and machine operatives",368,241,127
E05009334,Stepney Green,E09000030,Tower Hamlets,9. Elementary occupations,620,617,3
E05009335,Weavers,E09000030,Tower Hamlets,"1. Managers, directors and senior officials",939,635,304
E05009335,Weavers,E09000030,Tower Hamlets,2. Professional occupations,2245,1681,564
E05009335,Weavers,E09000030,Tower Hamlets,3. Associate professional and technical occupations,1402,1621,-219
E05009335,Weavers,E09000030,Tower Hamlets,4. Administrative and secretarial occupations,416,539,-123
E05009335,Weavers,E09000030,Tower Hamlets,5. Skilled trades occupations,301,372,-71
E05009335,Weavers,E09000030,Tower Hamlets,"6. Caring, leisure and other service occupations",374,355,19
E05009335,Weavers,E09000030,Tower Hamlets,7. Sales and customer service occupations,423,472,-49
