gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,1 bedroom,1818,1827,-9
E05009317,Bethnal Green,E09000030,Tower Hamlets,2 bedrooms,3168,2967,201
E05009317,Bethnal Green,E09000030,Tower Hamlets,3 bedrooms,1689,1707,-18
E05009317,Bethnal Green,E09000030,Tower Hamlets,4 or more bedrooms,697,574,123
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,1 bedroom,3699,1949,1750
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,2 bedrooms,4013,3186,827
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,3 bedrooms,1424,902,522
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,4 or more bedrooms,542,347,195
E05009319,Bow East,E09000030,Tower Hamlets,1 bedroom,2664,2044,620
E05009319,Bow East,E09000030,Tower Hamlets,2 bedrooms,3668,2941,727
E05009319,Bow East,E09000030,Tower Hamlets,3 bedrooms,1526,1150,376
E05009319,Bow East,E09000030,Tower Hamlets,4 or more bedrooms,551,435,116
E05009320,Bow West,E09000030,Tower Hamlets,1 bedroom,1310,1222,88
E05009320,Bow West,E09000030,Tower Hamlets,2 bedrooms,1625,1562,63
E05009320,Bow West,E09000030,Tower Hamlets,3 bedrooms,1572,1581,-9
E05009320,Bow West,E09000030,Tower Hamlets,4 or more bedrooms,782,629,153
E05009321,Bromley North,E09000030,Tower Hamlets,1 bedroom,1515,1170,345
E05009321,Bromley North,E09000030,Tower Hamlets,2 bedrooms,1779,1357,422
E05009321,Bromley North,E09000030,Tower Hamlets,3 bedrooms,784,677,107
E05009321,Bromley North,E09000030,Tower Hamlets,4 or more bedrooms,356,283,73
E05009322,Bromley South,E09000030,Tower Hamlets,1 bedroom,1554,749,805
E05009322,Bromley South,E09000030,Tower Hamlets,2 bedrooms,2000,1321,679
E05009322,Bromley South,E09000030,Tower Hamlets,3 bedrooms,1219,752,467
E05009322,Bromley South,E09000030,Tower Hamlets,4 or more bedrooms,374,208,166
E05009323,Canary Wharf,E09000030,Tower Hamlets,1 bedroom,3691,2486,1205
E05009323,Canary Wharf,E09000030,Tower Hamlets,2 bedrooms,3287,2674,613
E05009323,Canary Wharf,E09000030,Tower Hamlets,3 bedrooms,1194,855,339
E05009323,Canary Wharf,E09000030,Tower Hamlets,4 or more bedrooms,349,252,97
E05009324,Island Gardens,E09000030,Tower Hamlets,1 bedroom,1533,1553,-20
E05009324,Island Gardens,E09000030,Tower Hamlets,2 bedrooms,2522,2630,-108
E05009324,Island Gardens,E09000030,Tower Hamlets,3 bedrooms,1238,1161,77
E05009324,Island Gardens,E09000030,Tower Hamlets,4 or more bedrooms,683,506,177
E05009325,Lansbury,E09000030,Tower Hamlets,1 bedroom,1949,1137,812
E05009325,Lansbury,E09000030,Tower Hamlets,2 bedrooms,2953,2066,887
E05009325,Lansbury,E09000030,Tower Hamlets,3 bedrooms,1873,1593,280
E05009325,Lansbury,E09000030,Tower Hamlets,4 or more bedrooms,764,479,285
E05009326,Limehouse,E09000030,Tower Hamlets,1 bedroom,843,824,19
E05009326,Limehouse,E09000030,Tower Hamlets,2 bedrooms,1428,1536,-108
E05009326,Limehouse,E09000030,Tower Hamlets,3 bedrooms,536,502,34
E05009326,Limehouse,E09000030,Tower Hamlets,4 or more bedrooms,184,117,67
E05009327,Mile End,E09000030,Tower Hamlets,1 bedroom,2126,1368,758
E05009327,Mile End,E09000030,Tower Hamlets,2 bedrooms,3174,2403,771
E05009327,Mile End,E09000030,Tower Hamlets,3 bedrooms,1782,1419,363
E05009327,Mile End,E09000030,Tower Hamlets,4 or more bedrooms,772,568,204
E05009328,Poplar,E09000030,Tower Hamlets,1 bedroom,780,649,131
E05009328,Poplar,E09000030,Tower Hamlets,2 bedrooms,1113,1070,43
E05009328,Poplar,E09000030,Tower Hamlets,3 bedrooms,675,605,70
E05009328,Poplar,E09000030,Tower Hamlets,4 or more bedrooms,263,213,50
E05009329,St Dunstan's,E09000030,Tower Hamlets,1 bedroom,1196,1042,154
E05009329,St Dunstan's,E09000030,Tower Hamlets,2 bedrooms,1799,1499,300
E05009329,St Dunstan's,E09000030,Tower Hamlets,3 bedrooms,1022,860,162
E05009329,St Dunstan's,E09000030,Tower Hamlets,4 or more bedrooms,622,465,157
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,1 bedroom,1951,1742,209
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,2 bedrooms,2574,2502,72
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,3 bedrooms,930,813,117
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,4 or more bedrooms,343,277,66
E05009331,St Peter's,E09000030,Tower Hamlets,1 bedroom,2610,2509,101
E05009331,St Peter's,E09000030,Tower Hamlets,2 bedrooms,2623,2606,17
E05009331,St Peter's,E09000030,Tower Hamlets,3 bedrooms,1602,1404,198
E05009331,St Peter's,E09000030,Tower Hamlets,4 or more bedrooms,678,668,10
E05009332,Shadwell,E09000030,Tower Hamlets,1 bedroom,1294,1284,10
E05009332,Shadwell,E09000030,Tower Hamlets,2 bedrooms,1734,1790,-56
E05009332,Shadwell,E09000030,Tower Hamlets,3 bedrooms,931,875,56
E05009332,Shadwell,E09000030,Tower Hamlets,4 or more bedrooms,432,387,45
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,1 bedroom,1763,1788,-25
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,2 bedrooms,1879,1704,175
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,3 bedrooms,830,729,101
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,4 or more bedrooms,537,516,21
E05009334,Stepney Green,E09000030,Tower Hamlets,1 bedroom,1178,1144,34
E05009334,Stepney Green,E09000030,Tower Hamlets,2 bedrooms,1643,1571,72
E05009334,Stepney Green,E09000030,Tower Hamlets,3 bedrooms,1046,1011,35
E05009334,Stepney Green,E09000030,Tower Hamlets,4 or more bedrooms,486,399,87
E05009335,Weavers,E09000030,Tower Hamlets,1 bedroom,1638,1679,-41
E05009335,Weavers,E09000030,Tower Hamlets,2 bedrooms,2275,2196,79
E05009335,Weavers,E09000030,Tower Hamlets,3 bedrooms,1082,1061,21
E05009335,Weavers,E09000030,Tower Hamlets,4 or more bedrooms,431,375,56
E05009336,Whitechapel,E09000030,Tower Hamlets,1 bedroom,2829,2003,826
E05009336,Whitechapel,E09000030,Tower Hamlets,2 bedrooms,2794,2217,577
E05009336,Whitechapel,E09000030,Tower Hamlets,3 bedrooms,1166,931,235
E05009336,Whitechapel,E09000030,Tower Hamlets,4 or more bedrooms,578,433,145
E05009367,Brownswood,E09000012,Hackney,1 bedroom,1387,1250,137
E05009367,Brownswood,E09000012,Hackney,2 bedrooms,1532,1366,166
E05009367,Brownswood,E09000012,Hackney,3 bedrooms,784,636,148
E05009367,Brownswood,E09000012,Hackney,4 or more bedrooms,390,372,18
E05009368,Cazenove,E09000012,Hackney,1 bedroom,1332,1444,-112
E05009368,Cazenove,E09000012,Hackney,2 bedrooms,1870,1889,-19
E05009368,Cazenove,E09000012,Hackney,3 bedrooms,985,857,128
E05009368,Cazenove,E09000012,Hackney,4 or more bedrooms,970,877,93
E05009369,Clissold,E09000012,Hackney,1 bedroom,1521,1686,-165
E05009369,Clissold,E09000012,Hackney,2 bedrooms,1925,2011,-86
E05009369,Clissold,E09000012,Hackney,3 bedrooms,1230,1260,-30
E05009369,Clissold,E09000012,Hackney,4 or more bedrooms,747,605,142
E05009370,Dalston,E09000012,Hackney,1 bedroom,1425,1359,66
E05009370,Dalston,E09000012,Hackney,2 bedrooms,1285,957,328
E05009370,Dalston,E09000012,Hackney,3 bedrooms,956,775,181
E05009370,Dalston,E09000012,Hackney,4 or more bedrooms,383,346,37
E05009371,De Beauvoir,E09000012,Hackney,1 bedroom,1068,1002,66
E05009371,De Beauvoir,E09000012,Hackney,2 bedrooms,1543,1380,163
E05009371,De Beauvoir,E09000012,Hackney,3 bedrooms,944,912,32
E05009371,De Beauvoir,E09000012,Hackney,4 or more bedrooms,434,386,48
E05009372,Hackney Central,E09000012,Hackney,1 bedroom,2030,1880,150
E05009372,Hackney Central,E09000012,Hackney,2 bedrooms,2083,1974,109
E05009372,Hackney Central,E09000012,Hackney,3 bedrooms,1226,1156,70
E05009372,Hackney Central,E09000012,Hackney,4 or more bedrooms,441,390,51
E05009373,Hackney Downs,E09000012,Hackney,1 bedroom,1775,2043,-268
E05009373,Hackney Downs,E09000012,Hackney,2 bedrooms,1657,1563,94
E05009373,Hackney Downs,E09000012,Hackney,3 bedrooms,1174,1108,66
E05009373,Hackney Downs,E09000012,Hackney,4 or more bedrooms,757,676,81
E05009374,Hackney Wick,E09000012,Hackney,1 bedroom,1294,1385,-91
E05009374,Hackney Wick,E09000012,Hackney,2 bedrooms,1701,1635,66
E05009374,Hackney Wick,E09000012,Hackney,3 bedrooms,1391,1301,90
E05009374,Hackney Wick,E09000012,Hackney,4 or more bedrooms,586,475,111
E05009375,Haggerston,E09000012,Hackney,1 bedroom,1941,1871,70
E05009375,Haggerston,E09000012,Hackney,2 bedrooms,2328,1984,344
E05009375,Haggerston,E09000012,Hackney,3 bedrooms,1506,1277,229
E05009375,Haggerston,E09000012,Hackney,4 or more bedrooms,479,428,51
E05009376,Homerton,E09000012,Hackney,1 bedroom,1577,1601,-24
E05009376,Homerton,E09000012,Hackney,2 bedrooms,2021,2038,-17
E05009376,Homerton,E09000012,Hackney,3 bedrooms,1171,1038,133
E05009376,Homerton,E09000012,Hackney,4 or more bedrooms,451,338,113
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,1 bedroom,1799,1817,-18
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,2 bedrooms,2521,2304,217
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,3 bedrooms,1004,975,29
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,4 or more bedrooms,218,203,15
