lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 car or van in household,2338,2133,205
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 cars or vans in household,314,252,62
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 or more cars or vans in household,51,37,14
E09000030,Tower Hamlets,E05009317,Bethnal Green,No cars or vans in household,4645,4702,-57
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 car or van in household,2640,2307,333
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 cars or vans in household,302,350,-48
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 or more cars or vans in household,49,70,-21
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,No cars or vans in household,6710,3692,3018
E09000030,Tower Hamlets,E05009319,Bow East,1 car or van in household,2531,2170,361
E09000030,Tower Hamlets,E05009319,Bow East,2 cars or vans in household,347,299,48
E09000030,Tower Hamlets,E05009319,Bow East,3 or more cars or vans in household,62,31,31
E09000030,Tower Hamlets,E05009319,Bow East,No cars or vans in household,5473,4095,1378
E09000030,Tower Hamlets,E05009320,Bow West,1 car or van in household,1809,1738,71
E09000030,Tower Hamlets,E05009320,Bow West,2 cars or vans in household,358,300,58
E09000030,Tower Hamlets,E05009320,Bow West,3 or more cars or vans in household,62,48,14
E09000030,Tower Hamlets,E05009320,Bow West,No cars or vans in household,3052,2923,129
E09000030,Tower Hamlets,E05009321,Bromley North,1 car or van in household,1385,1158,227
E09000030,Tower Hamlets,E05009321,Bromley North,2 cars or vans in household,195,103,92
E09000030,Tower Hamlets,E05009321,Bromley North,3 or more cars or vans in household,14,9,5
E09000030,Tower Hamlets,E05009321,Bromley North,No cars or vans in household,2839,2236,603
E09000030,Tower Hamlets,E05009322,Bromley South,1 car or van in household,1453,1005,448
E09000030,Tower Hamlets,E05009322,Bromley South,2 cars or vans in household,214,134,80
E09000030,Tower Hamlets,E05009322,Bromley South,3 or more cars or vans in household,35,20,15
E09000030,Tower Hamlets,E05009322,Bromley South,No cars or vans in household,3441,1894,1547
E09000030,Tower Hamlets,E05009323,Canary Wharf,1 car or van in household,1867,1906,-39
E09000030,Tower Hamlets,E05009323,Canary Wharf,2 cars or vans in household,219,275,-56
E09000030,Tower Hamlets,E05009323,Canary Wharf,3 or more cars or vans in household,48,38,10
E09000030,Tower Hamlets,E05009323,Canary Wharf,No cars or vans in household,6379,4078,2301
E09000030,Tower Hamlets,E05009324,Island Gardens,1 car or van in household,2232,2386,-154
E09000030,Tower Hamlets,E05009324,Island Gardens,2 cars or vans in household,359,397,-38
E09000030,Tower Hamlets,E05009324,Island Gardens,3 or more cars or vans in household,73,70,3
E09000030,Tower Hamlets,E05009324,Island Gardens,No cars or vans in household,3310,3026,284
E09000030,Tower Hamlets,E05009325,Lansbury,1 car or van in household,2286,1741,545
E09000030,Tower Hamlets,E05009325,Lansbury,2 cars or vans in household,355,254,101
E09000030,Tower Hamlets,E05009325,Lansbury,3 or more cars or vans in household,52,33,19
E09000030,Tower Hamlets,E05009325,Lansbury,No cars or vans in household,4841,3272,1569
E09000030,Tower Hamlets,E05009326,Limehouse,1 car or van in household,1043,1223,-180
E09000030,Tower Hamlets,E05009326,Limehouse,2 cars or vans in household,124,181,-57
E09000030,Tower Hamlets,E05009326,Limehouse,3 or more cars or vans in household,14,32,-18
E09000030,Tower Hamlets,E05009326,Limehouse,No cars or vans in household,1815,1546,269
E09000030,Tower Hamlets,E05009327,Mile End,1 car or van in household,2246,1880,366
E09000030,Tower Hamlets,E05009327,Mile End,2 cars or vans in household,349,223,126
E09000030,Tower Hamlets,E05009327,Mile End,3 or more cars or vans in household,69,28,41
E09000030,Tower Hamlets,E05009327,Mile End,No cars or vans in household,5200,3667,1533
E09000030,Tower Hamlets,E05009328,Poplar,1 car or van in household,788,816,-28
E09000030,Tower Hamlets,E05009328,Poplar,2 cars or vans in household,125,95,30
E09000030,Tower Hamlets,E05009328,Poplar,3 or more cars or vans in household,17,15,2
E09000030,Tower Hamlets,E05009328,Poplar,No cars or vans in household,1899,1624,275
E09000030,Tower Hamlets,E05009329,St Dunstan's,1 car or van in household,1515,1296,219
E09000030,Tower Hamlets,E05009329,St Dunstan's,2 cars or vans in household,253,194,59
E09000030,Tower Hamlets,E05009329,St Dunstan's,3 or more cars or vans in household,48,25,23
E09000030,Tower Hamlets,E05009329,St Dunstan's,No cars or vans in household,2818,2367,451
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,1 car or van in household,1934,2240,-306
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,2 cars or vans in household,239,386,-147
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,3 or more cars or vans in household,63,58,5
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,No cars or vans in household,3582,2684,898
E09000030,Tower Hamlets,E05009331,St Peter's,1 car or van in household,1909,1917,-8
E09000030,Tower Hamlets,E05009331,St Peter's,2 cars or vans in household,311,179,132
E09000030,Tower Hamlets,E05009331,St Peter's,3 or more cars or vans in household,57,29,28
E09000030,Tower Hamlets,E05009331,St Peter's,No cars or vans in household,5237,5112,125
E09000030,Tower Hamlets,E05009332,Shadwell,1 car or van in household,1290,1271,19
E09000030,Tower Hamlets,E05009332,Shadwell,2 cars or vans in household,206,164,42
E09000030,Tower Hamlets,E05009332,Shadwell,3 or more cars or vans in household,36,23,13
E09000030,Tower Hamlets,E05009332,Shadwell,No cars or vans in household,2866,2909,-43
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,1 car or van in household,1086,1136,-50
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,2 cars or vans in household,177,138,39
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,3 or more cars or vans in household,29,41,-12
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,No cars or vans in household,3731,3460,271
E09000030,Tower Hamlets,E05009334,Stepney Green,1 car or van in household,1339,1223,116
E09000030,Tower Hamlets,E05009334,Stepney Green,2 cars or vans in household,243,190,53
E09000030,Tower Hamlets,E05009334,Stepney Green,3 or more cars or vans in household,36,18,18
E09000030,Tower Hamlets,E05009334,Stepney Green,No cars or vans in household,2748,2720,28
E09000030,Tower Hamlets,E05009335,Weavers,1 car or van in household,1430,1407,23
E09000030,Tower Hamlets,E05009335,Weavers,2 cars or vans in household,184,146,38
E09000030,Tower Hamlets,E05009335,Weavers,3 or more cars or vans in household,36,25,11
E09000030,Tower Hamlets,E05009335,Weavers,No cars or vans in household,3776,3775,1
E09000030,Tower Hamlets,E05009336,Whitechapel,1 car or van in household,1465,1380,85
E09000030,Tower Hamlets,E05009336,Whitechapel,2 cars or vans in household,179,191,-12
E09000030,Tower Hamlets,E05009336,Whitechapel,3 or more cars or vans in household,41,31,10
E09000030,Tower Hamlets,E05009336,Whitechapel,No cars or vans in household,5664,4014,1650
E09000012,Hackney,E05009367,Brownswood,1 car or van in household,1228,1139,89
E09000012,Hackney,E05009367,Brownswood,2 cars or vans in household,138,170,-32
E09000012,Hackney,E05009367,Brownswood,3 or more cars or vans in household,19,20,-1
E09000012,Hackney,E05009367,Brownswood,No cars or vans in household,2711,2319,392
E09000012,Hackney,E05009368,Cazenove,1 car or van in household,1660,1654,6
