lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 room,227,176,51
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 rooms,1517,584,933
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 rooms,3174,1771,1403
E09000030,Tower Hamlets,E05009317,Bethnal Green,4 rooms,1713,2321,-608
E09000030,Tower Hamlets,E05009317,Bethnal Green,5 rooms,551,1556,-1005
E09000030,Tower Hamlets,E05009317,Bethnal Green,6 rooms,97,451,-354
E09000030,Tower Hamlets,E05009317,Bethnal Green,7 rooms,31,144,-113
E09000030,Tower Hamlets,E05009317,Bethnal Green,8 rooms,13,69,-56
E09000030,Tower Hamlets,E05009317,Bethnal Green,9 or more rooms,15,52,-37
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 room,811,237,574
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 rooms,2817,692,2125
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 rooms,4105,1829,2276
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,4 rooms,1311,2344,-1033
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,5 rooms,487,809,-322
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,6 rooms,113,337,-224
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,7 rooms,29,111,-82
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,8 rooms,4,40,-36
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,9 or more rooms,2,20,-18
E09000030,Tower Hamlets,E05009319,Bow East,1 room,168,174,-6
E09000030,Tower Hamlets,E05009319,Bow East,2 rooms,2441,818,1623
E09000030,Tower Hamlets,E05009319,Bow East,3 rooms,3551,2147,1404
E09000030,Tower Hamlets,E05009319,Bow East,4 rooms,1692,1816,-124
E09000030,Tower Hamlets,E05009319,Bow East,5 rooms,406,1008,-602
E09000030,Tower Hamlets,E05009319,Bow East,6 rooms,118,419,-301
E09000030,Tower Hamlets,E05009319,Bow East,7 rooms,19,129,-110
E09000030,Tower Hamlets,E05009319,Bow East,8 rooms,8,51,-43
E09000030,Tower Hamlets,E05009319,Bow East,9 or more rooms,7,33,-26
E09000030,Tower Hamlets,E05009320,Bow West,1 room,96,69,27
E09000030,Tower Hamlets,E05009320,Bow West,2 rooms,1163,365,798
E09000030,Tower Hamlets,E05009320,Bow West,3 rooms,1514,1001,513
E09000030,Tower Hamlets,E05009320,Bow West,4 rooms,1377,1284,93
E09000030,Tower Hamlets,E05009320,Bow West,5 rooms,703,1260,-557
E09000030,Tower Hamlets,E05009320,Bow West,6 rooms,264,588,-324
E09000030,Tower Hamlets,E05009320,Bow West,7 rooms,97,219,-122
E09000030,Tower Hamlets,E05009320,Bow West,8 rooms,29,129,-100
E09000030,Tower Hamlets,E05009320,Bow West,9 or more rooms,26,94,-68
E09000030,Tower Hamlets,E05009321,Bromley North,1 room,91,96,-5
E09000030,Tower Hamlets,E05009321,Bromley North,2 rooms,1495,351,1144
E09000030,Tower Hamlets,E05009321,Bromley North,3 rooms,1635,1008,627
E09000030,Tower Hamlets,E05009321,Bromley North,4 rooms,838,1106,-268
E09000030,Tower Hamlets,E05009321,Bromley North,5 rooms,263,555,-292
E09000030,Tower Hamlets,E05009321,Bromley North,6 rooms,64,262,-198
E09000030,Tower Hamlets,E05009321,Bromley North,7 rooms,15,62,-47
E09000030,Tower Hamlets,E05009321,Bromley North,8 rooms,9,36,-27
E09000030,Tower Hamlets,E05009321,Bromley North,9 or more rooms,16,31,-15
E09000030,Tower Hamlets,E05009322,Bromley South,1 room,151,77,74
E09000030,Tower Hamlets,E05009322,Bromley South,2 rooms,1372,317,1055
E09000030,Tower Hamlets,E05009322,Bromley South,3 rooms,2056,785,1271
E09000030,Tower Hamlets,E05009322,Bromley South,4 rooms,1205,947,258
E09000030,Tower Hamlets,E05009322,Bromley South,5 rooms,274,667,-393
E09000030,Tower Hamlets,E05009322,Bromley South,6 rooms,68,169,-101
E09000030,Tower Hamlets,E05009322,Bromley South,7 rooms,17,45,-28
E09000030,Tower Hamlets,E05009322,Bromley South,8 rooms,6,22,-16
E09000030,Tower Hamlets,E05009322,Bromley South,9 or more rooms,7,23,-16
E09000030,Tower Hamlets,E05009323,Canary Wharf,1 room,557,285,272
E09000030,Tower Hamlets,E05009323,Canary Wharf,2 rooms,3069,1363,1706
E09000030,Tower Hamlets,E05009323,Canary Wharf,3 rooms,3309,1994,1315
E09000030,Tower Hamlets,E05009323,Canary Wharf,4 rooms,1211,1574,-363
E09000030,Tower Hamlets,E05009323,Canary Wharf,5 rooms,279,698,-419
E09000030,Tower Hamlets,E05009323,Canary Wharf,6 rooms,62,260,-198
E09000030,Tower Hamlets,E05009323,Canary Wharf,7 rooms,16,60,-44
E09000030,Tower Hamlets,E05009323,Canary Wharf,8 rooms,8,31,-23
E09000030,Tower Hamlets,E05009323,Canary Wharf,9 or more rooms,6,31,-25
E09000030,Tower Hamlets,E05009324,Island Gardens,1 room,72,71,1
E09000030,Tower Hamlets,E05009324,Island Gardens,2 rooms,1443,528,915
E09000030,Tower Hamlets,E05009324,Island Gardens,3 rooms,2560,1610,950
E09000030,Tower Hamlets,E05009324,Island Gardens,4 rooms,1205,1935,-730
E09000030,Tower Hamlets,E05009324,Island Gardens,5 rooms,459,1065,-606
E09000030,Tower Hamlets,E05009324,Island Gardens,6 rooms,158,407,-249
E09000030,Tower Hamlets,E05009324,Island Gardens,7 rooms,48,164,-116
E09000030,Tower Hamlets,E05009324,Island Gardens,8 rooms,15,54,-39
E09000030,Tower Hamlets,E05009324,Island Gardens,9 or more rooms,8,46,-38
E09000030,Tower Hamlets,E05009325,Lansbury,1 room,124,114,10
E09000030,Tower Hamlets,E05009325,Lansbury,2 rooms,1806,366,1440
E09000030,Tower Hamlets,E05009325,Lansbury,3 rooms,3001,1163,1838
E09000030,Tower Hamlets,E05009325,Lansbury,4 rooms,1847,1655,192
E09000030,Tower Hamlets,E05009325,Lansbury,5 rooms,561,1347,-786
E09000030,Tower Hamlets,E05009325,Lansbury,6 rooms,127,441,-314
E09000030,Tower Hamlets,E05009325,Lansbury,7 rooms,57,128,-71
E09000030,Tower Hamlets,E05009325,Lansbury,8 rooms,7,53,-46
E09000030,Tower Hamlets,E05009325,Lansbury,9 or more rooms,7,35,-28
E09000030,Tower Hamlets,E05009326,Limehouse,1 room,28,30,-2
E09000030,Tower Hamlets,E05009326,Limehouse,2 rooms,795,375,420
E09000030,Tower Hamlets,E05009326,Limehouse,3 rooms,1396,906,490
E09000030,Tower Hamlets,E05009326,Limehouse,4 rooms,545,1026,-481
E09000030,Tower Hamlets,E05009326,Limehouse,5 rooms,197,401,-204
E09000030,Tower Hamlets,E05009326,Limehouse,6 rooms,27,148,-121
E09000030,Tower Hamlets,E05009326,Limehouse,7 rooms,13,54,-41
E09000030,Tower Hamlets,E05009326,Limehouse,8 rooms,2,26,-24
E09000030,Tower Hamlets,E05009326,Limehouse,9 or more rooms,1,16,-15
E09000030,Tower Hamlets,E05009327,Mile End,1 room,185,97,88
E09000030,Tower Hamlets,E05009327,Mile End,2 rooms,1808,542,1266
E09000030,Tower Hamlets,E05009327,Mile End,3 rooms,3248,1478,1770
E09000030,Tower Hamlets,E05009327,Mile End,4 rooms,1749,1766,-17
E09000030,Tower Hamlets,E05009327,Mile End,5 rooms,654,1260,-606
E09000030,Tower Hamlets,E05009327,Mile End,6 rooms,150,411,-261
E09000030,Tower Hamlets,E05009327,Mile End,7 rooms,56,138,-82
E09000030,Tower Hamlets,E05009327,Mile End,8 rooms,10,57,-47
E09000030,Tower Hamlets,E05009327,Mile End,9 or more rooms,5,49,-44
E09000030,Tower Hamlets,E05009328,Poplar,1 room,93,64,29
E09000030,Tower Hamlets,E05009328,Poplar,2 rooms,667,282,385
E09000030,Tower Hamlets,E05009328,Poplar,3 rooms,1139,556,583
E09000030,Tower Hamlets,E05009328,Poplar,4 rooms,715,886,-171
E09000030,Tower Hamlets,E05009328,Poplar,5 rooms,181,540,-359
E09000030,Tower Hamlets,E05009328,Poplar,6 rooms,24,152,-128
E09000030,Tower Hamlets,E05009328,Poplar,7 rooms,8,34,-26
E09000030,Tower Hamlets,E05009328,Poplar,8 rooms,4,17,-13
E09000030,Tower Hamlets,E05009328,Poplar,9 or more rooms,5,20,-15
E09000030,Tower Hamlets,E05009329,St Dunstan's,1 room,44,88,-44
E09000030,Tower Hamlets,E05009329,St Dunstan's,2 rooms,1146,371,775
E09000030,Tower Hamlets,E05009329,St Dunstan's,3 rooms,1696,962,734
E09000030,Tower Hamlets,E05009329,St Dunstan's,4 rooms,1013,1140,-127
E09000030,Tower Hamlets,E05009329,St Dunstan's,5 rooms,521,744,-223
E09000030,Tower Hamlets,E05009329,St Dunstan's,6 rooms,132,362,-230
E09000030,Tower Hamlets,E05009329,St Dunstan's,7 rooms,47,134,-87
E09000030,Tower Hamlets,E05009329,St Dunstan's,8 rooms,11,40,-29
E09000030,Tower Hamlets,E05009329,St Dunstan's,9 or more rooms,12,40,-28
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,1 room,270,130,140
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,2 rooms,1633,631,1002
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,3 rooms,2572,1547,1025
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,4 rooms,934,1864,-930
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,5 rooms,266,749,-483
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,6 rooms,114,270,-156
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,7 rooms,19,106,-87
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,8 rooms,5,40,-35
