lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: +1,1751,1015,736
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: +2 or more,614,641,-27
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: -1,1110,1656,-546
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: -2 or less,327,330,-3
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: 0,3576,3481,95
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: +1,2471,650,1821
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: +2 or more,602,406,196
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: -1,831,1974,-1143
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: -2 or less,189,114,75
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: 0,5586,3274,2312
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: +1,2378,589,1789
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: +2 or more,505,442,63
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: -1,815,1808,-993
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: -2 or less,166,147,19
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: 0,4541,3609,932
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: +1,1372,564,808
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: +2 or more,833,758,75
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: -1,530,1266,-736
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: -2 or less,203,165,38
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: 0,2350,2256,94
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: +1,934,562,372
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: +2 or more,273,205,68
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: -1,668,703,-35
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: -2 or less,197,153,44
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: 0,2356,1884,472
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: +1,990,520,470
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: +2 or more,295,205,90
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: -1,802,605,197
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: -2 or less,226,171,55
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: 0,2823,1552,1271
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: +1,2076,540,1536
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: +2 or more,380,325,55
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: -1,723,1960,-1237
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: -2 or less,111,97,14
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: 0,5235,3375,1860
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: +1,1825,533,1292
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: +2 or more,625,620,5
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: -1,566,1934,-1368
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: -2 or less,127,114,13
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: 0,2841,2678,163
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: +1,1628,815,813
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: +2 or more,563,552,11
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: -1,1238,1217,21
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: -2 or less,369,222,147
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: 0,3735,2494,1241
E09000030,Tower Hamlets,E05009326,Limehouse,Occupancy rating of bedrooms: +1,1024,239,785
E09000030,Tower Hamlets,E05009326,Limehouse,Occupancy rating of bedrooms: +2 or more,257,249,8
E09000030,Tower Hamlets,E05009326,Limehouse,Occupancy rating of bedrooms: -1,232,1065,-833
E09000030,Tower Hamlets,E05009326,Limehouse,Occupancy rating of bedrooms: -2 or less,61,56,5
E09000030,Tower Hamlets,E05009326,Limehouse,Occupancy rating of bedrooms: 0,1423,1372,51
E09000030,Tower Hamlets,E05009327,Mile End,Occupancy rating of bedrooms: +1,1758,949,809
E09000030,Tower Hamlets,E05009327,Mile End,Occupancy rating of bedrooms: +2 or more,561,523,38
E09000030,Tower Hamlets,E05009327,Mile End,Occupancy rating of bedrooms: -1,1199,1275,-76
E09000030,Tower Hamlets,E05009327,Mile End,Occupancy rating of bedrooms: -2 or less,334,296,38
E09000030,Tower Hamlets,E05009327,Mile End,Occupancy rating of bedrooms: 0,3983,2754,1229
E09000030,Tower Hamlets,E05009328,Poplar,Occupancy rating of bedrooms: +1,564,440,124
E09000030,Tower Hamlets,E05009328,Poplar,Occupancy rating of bedrooms: +2 or more,225,208,17
E09000030,Tower Hamlets,E05009328,Poplar,Occupancy rating of bedrooms: -1,542,535,7
E09000030,Tower Hamlets,E05009328,Poplar,Occupancy rating of bedrooms: -2 or less,118,127,-9
E09000030,Tower Hamlets,E05009328,Poplar,Occupancy rating of bedrooms: 0,1381,1240,141
E09000030,Tower Hamlets,E05009329,St Dunstan's,Occupancy rating of bedrooms: +1,977,608,369
E09000030,Tower Hamlets,E05009329,St Dunstan's,Occupancy rating of bedrooms: +2 or more,358,290,68
E09000030,Tower Hamlets,E05009329,St Dunstan's,Occupancy rating of bedrooms: -1,761,878,-117
E09000030,Tower Hamlets,E05009329,St Dunstan's,Occupancy rating of bedrooms: -2 or less,282,232,50
E09000030,Tower Hamlets,E05009329,St Dunstan's,Occupancy rating of bedrooms: 0,2249,1874,375
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Occupancy rating of bedrooms: +1,1939,371,1568
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Occupancy rating of bedrooms: +2 or more,531,472,59
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Occupancy rating of bedrooms: -1,328,1872,-1544
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Occupancy rating of bedrooms: -2 or less,76,73,3
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Occupancy rating of bedrooms: 0,2927,2579,348
E09000030,Tower Hamlets,E05009331,St Peter's,Occupancy rating of bedrooms: +1,1626,948,678
E09000030,Tower Hamlets,E05009331,St Peter's,Occupancy rating of bedrooms: +2 or more,540,567,-27
E09000030,Tower Hamlets,E05009331,St Peter's,Occupancy rating of bedrooms: -1,902,1493,-591
E09000030,Tower Hamlets,E05009331,St Peter's,Occupancy rating of bedrooms: -2 or less,298,263,35
