category,lad22cd,lad22nm,ward22cd,ward22nm,count_21,count_11,change
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009317,Bethnal Green,1751,1656,95
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2471,1974,497
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009319,Bow East,2378,1808,570
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009320,Bow West,1372,1266,106
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009321,Bromley North,934,703,231
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009322,Bromley South,990,605,385
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009323,Canary Wharf,2076,1960,116
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009324,Island Gardens,1825,1934,-109
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009325,Lansbury,1628,1217,411
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009326,Limehouse,1024,1065,-41
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009327,Mile End,1758,1275,483
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009328,Poplar,564,535,29
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009329,St Dunstan's,977,878,99
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,1939,1872,67
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009331,St Peter's,1626,1493,133
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009332,Shadwell,879,867,12
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,1154,1042,112
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009334,Stepney Green,919,911,8
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009335,Weavers,1327,1230,97
Occupancy rating of bedrooms: +1,E09000030,Tower Hamlets,E05009336,Whitechapel,1569,1207,362
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009367,Brownswood,1046,874,172
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009368,Cazenove,1091,1164,-73
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009369,Clissold,1476,1462,14
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009370,Dalston,959,748,211
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009371,De Beauvoir,1148,1030,118
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009372,Hackney Central,1305,1161,144
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009373,Hackney Downs,1214,1111,103
Occupancy rating of bedrooms: +1,E09000012,Hackney,E05009374,Hackney Wick,1222,1185,37
