lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Lives rent free,26,79,-53
E09000030,Tower Hamlets,E05009317,Bethnal Green,Owned: Owns outright,571,590,-19
E09000030,Tower Hamlets,E05009317,Bethnal Green,Owned: Owns with a mortgage or loan,1136,1133,3
E09000030,Tower Hamlets,E05009317,Bethnal Green,Private rented: Other private rented,198,181,17
E09000030,Tower Hamlets,E05009317,Bethnal Green,Private rented: Private landlord or letting agency,2051,1665,386
E09000030,Tower Hamlets,E05009317,Bethnal Green,Shared ownership: Shared ownership,144,127,17
E09000030,Tower Hamlets,E05009317,Bethnal Green,Social rented: Other social rented,1277,1141,136
E09000030,Tower Hamlets,E05009317,Bethnal Green,Social rented: Rents from council or Local Authority,1955,2208,-253
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Lives rent free,8,84,-76
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Owned: Owns outright,774,544,230
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Owned: Owns with a mortgage or loan,1543,1097,446
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Private rented: Other private rented,255,100,155
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Private rented: Private landlord or letting agency,4736,2839,1897
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Shared ownership: Shared ownership,221,174,47
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Social rented: Other social rented,1778,1276,502
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Social rented: Rents from council or Local Authority,360,305,55
E09000030,Tower Hamlets,E05009319,Bow East,Lives rent free,6,65,-59
E09000030,Tower Hamlets,E05009319,Bow East,Owned: Owns outright,549,447,102
E09000030,Tower Hamlets,E05009319,Bow East,Owned: Owns with a mortgage or loan,1818,1045,773
E09000030,Tower Hamlets,E05009319,Bow East,Private rented: Other private rented,181,85,96
E09000030,Tower Hamlets,E05009319,Bow East,Private rented: Private landlord or letting agency,2435,1912,523
E09000030,Tower Hamlets,E05009319,Bow East,Shared ownership: Shared ownership,397,218,179
E09000030,Tower Hamlets,E05009319,Bow East,Social rented: Other social rented,2266,2036,230
E09000030,Tower Hamlets,E05009319,Bow East,Social rented: Rents from council or Local Authority,759,787,-28
E09000030,Tower Hamlets,E05009320,Bow West,Lives rent free,22,60,-38
E09000030,Tower Hamlets,E05009320,Bow West,Owned: Owns outright,644,637,7
E09000030,Tower Hamlets,E05009320,Bow West,Owned: Owns with a mortgage or loan,1021,944,77
E09000030,Tower Hamlets,E05009320,Bow West,Private rented: Other private rented,109,71,38
E09000030,Tower Hamlets,E05009320,Bow West,Private rented: Private landlord or letting agency,1497,1268,229
E09000030,Tower Hamlets,E05009320,Bow West,Shared ownership: Shared ownership,83,77,6
E09000030,Tower Hamlets,E05009320,Bow West,Social rented: Other social rented,1251,1253,-2
E09000030,Tower Hamlets,E05009320,Bow West,Social rented: Rents from council or Local Authority,652,699,-47
E09000030,Tower Hamlets,E05009321,Bromley North,Lives rent free,11,51,-40
E09000030,Tower Hamlets,E05009321,Bromley North,Owned: Owns outright,282,160,122
E09000030,Tower Hamlets,E05009321,Bromley North,Owned: Owns with a mortgage or loan,673,405,268
E09000030,Tower Hamlets,E05009321,Bromley North,Private rented: Other private rented,102,49,53
E09000030,Tower Hamlets,E05009321,Bromley North,Private rented: Private landlord or letting agency,1129,869,260
E09000030,Tower Hamlets,E05009321,Bromley North,Shared ownership: Shared ownership,146,61,85
E09000030,Tower Hamlets,E05009321,Bromley North,Social rented: Other social rented,1587,1457,130
E09000030,Tower Hamlets,E05009321,Bromley North,Social rented: Rents from council or Local Authority,498,454,44
E09000030,Tower Hamlets,E05009322,Bromley South,Lives rent free,7,46,-39
E09000030,Tower Hamlets,E05009322,Bromley South,Owned: Owns outright,240,141,99
E09000030,Tower Hamlets,E05009322,Bromley South,Owned: Owns with a mortgage or loan,773,337,436
E09000030,Tower Hamlets,E05009322,Bromley South,Private rented: Other private rented,113,45,68
E09000030,Tower Hamlets,E05009322,Bromley South,Private rented: Private landlord or letting agency,1560,702,858
E09000030,Tower Hamlets,E05009322,Bromley South,Shared ownership: Shared ownership,211,95,116
E09000030,Tower Hamlets,E05009322,Bromley South,Social rented: Other social rented,1453,979,474
E09000030,Tower Hamlets,E05009322,Bromley South,Social rented: Rents from council or Local Authority,778,707,71
E09000030,Tower Hamlets,E05009323,Canary Wharf,Lives rent free,4,102,-98
E09000030,Tower Hamlets,E05009323,Canary Wharf,Owned: Owns outright,662,543,119
E09000030,Tower Hamlets,E05009323,Canary Wharf,Owned: Owns with a mortgage or loan,1113,969,144
E09000030,Tower Hamlets,E05009323,Canary Wharf,Private rented: Other private rented,219,115,104
E09000030,Tower Hamlets,E05009323,Canary Wharf,Private rented: Private landlord or letting agency,4325,2952,1373
E09000030,Tower Hamlets,E05009323,Canary Wharf,Shared ownership: Shared ownership,205,189,16
E09000030,Tower Hamlets,E05009323,Canary Wharf,Social rented: Other social rented,1703,1176,527
E09000030,Tower Hamlets,E05009323,Canary Wharf,Social rented: Rents from council or Local Authority,280,251,29
