dat_21,num_dat_21,dat_11,common_cats
Aged under 1 year,0,Age under 1,Aged under 1 year
Aged 1 year,1,Age 1,Aged 1 year
Aged 2 years,2,Age 2,Aged 2 years
Aged 3 years,3,Age 3,Aged 3 years
Aged 4 years,4,Age 4,Aged 4 years
Aged 5 years,5,Age 5,Aged 5 years
Aged 6 years,6,Age 6,Aged 6 years
Aged 7 years,7,Age 7,Aged 7 years
Aged 8 years,8,Age 8,Aged 8 years
Aged 9 years,9,Age 9,Aged 9 years
Aged 10 years,10,Age 10,Aged 10 years
Aged 11 years,11,Age 11,Aged 11 years
Aged 12 years,12,Age 12,Aged 12 years
Aged 13 years,13,Age 13,Aged 13 years
Aged 14 years,14,Age 14,Aged 14 years
Aged 15 years,15,Age 15,Aged 15 years
Aged 16 years,16,Age 16,Aged 16 years
Aged 17 years,17,Age 17,Aged 17 years
Aged 18 years,18,Age 18,Aged 18 years
Aged 19 years,19,Age 19,Aged 19 years
Aged 20 years,20,Age 20,Aged 20 years
Aged 21 years,21,Age 21,Aged 21 years
Aged 22 years,22,Age 22,Aged 22 years
Aged 23 years,23,Age 23,Aged 23 years
Aged 24 years,24,Age 24,Aged 24 years
Aged 25 years,25,Age 25,Aged 25 years
Aged 26 years,26,Age 26,Aged 26 years
Aged 27 years,27,Age 27,Aged 27 years
Aged 28 years,28,Age 28,Aged 28 years
Aged 29 years,29,Age 29,Aged 29 years
Aged 30 years,30,Age 30,Aged 30 years
Aged 31 years,31,Age 31,Aged 31 years
Aged 32 years,32,Age 32,Aged 32 years
Aged 33 years,33,Age 33,Aged 33 years
Aged 34 years,34,Age 34,Aged 34 years
Aged 35 years,35,Age 35,Aged 35 years
Aged 36 years,36,Age 36,Aged 36 years
Aged 37 years,37,Age 37,Aged 37 years
Aged 38 years,38,Age 38,Aged 38 years
Aged 39 years,39,Age 39,Aged 39 years
Aged 40 years,40,Age 40,Aged 40 years
Aged 41 years,41,Age 41,Aged 41 years
Aged 42 years,42,Age 42,Aged 42 years
Aged 43 years,43,Age 43,Aged 43 years
Aged 44 years,44,Age 44,Aged 44 years
Aged 45 years,45,Age 45,Aged 45 years
Aged 46 years,46,Age 46,Aged 46 years
Aged 47 years,47,Age 47,Aged 47 years
Aged 48 years,48,Age 48,Aged 48 years
Aged 49 years,49,Age 49,Aged 49 years
Aged 50 years,50,Age 50,Aged 50 years
Aged 51 years,51,Age 51,Aged 51 years
Aged 52 years,52,Age 52,Aged 52 years
Aged 53 years,53,Age 53,Aged 53 years
Aged 54 years,54,Age 54,Aged 54 years
Aged 55 years,55,Age 55,Aged 55 years
Aged 56 years,56,Age 56,Aged 56 years
Aged 57 years,57,Age 57,Aged 57 years
Aged 58 years,58,Age 58,Aged 58 years
Aged 59 years,59,Age 59,Aged 59 years
Aged 60 years,60,Age 60,Aged 60 years
Aged 61 years,61,Age 61,Aged 61 years
Aged 62 years,62,Age 62,Aged 62 years
Aged 63 years,63,Age 63,Aged 63 years
Aged 64 years,64,Age 64,Aged 64 years
Aged 65 years,65,Age 65,Aged 65 years
Aged 66 years,66,Age 66,Aged 66 years
Aged 67 years,67,Age 67,Aged 67 years
Aged 68 years,68,Age 68,Aged 68 years
Aged 69 years,69,Age 69,Aged 69 years
Aged 70 years,70,Age 70,Aged 70 years
Aged 71 years,71,Age 71,Aged 71 years
Aged 72 years,72,Age 72,Aged 72 years
Aged 73 years,73,Age 73,Aged 73 years
Aged 74 years,74,Age 74,Aged 74 years
Aged 75 years,75,Age 75,Aged 75 years
Aged 76 years,76,Age 76,Aged 76 years
Aged 77 years,77,Age 77,Aged 77 years
Aged 78 years,78,Age 78,Aged 78 years
Aged 79 years,79,Age 79,Aged 79 years
Aged 80 years,80,Age 80,Aged 80 years
Aged 81 years,81,Age 81,Aged 81 years
Aged 82 years,82,Age 82,Aged 82 years
Aged 83 years,83,Age 83,Aged 83 years
Aged 84 years,84,Age 84,Aged 84 years
Aged 85 years,85,Age 85 and over,Aged 85 and over
Aged 85 years,85,Age 85,Aged 85 and over
Aged 86 years,86,Age 85 and over,Aged 85 and over
Aged 86 years,86,Age 86,Aged 85 and over
Aged 87 years,87,Age 85 and over,Aged 85 and over
Aged 87 years,87,Age 87,Aged 85 and over
Aged 88 years,88,Age 85 and over,Aged 85 and over
Aged 88 years,88,Age 88,Aged 85 and over
Aged 89 years,89,Age 85 and over,Aged 85 and over
Aged 89 years,89,Age 89,Aged 85 and over
Aged 90 years,90,Age 85 and over,Aged 85 and over
Aged 90 years,90,Age 90,Aged 85 and over
Aged 91 years,91,Age 85 and over,Aged 85 and over
Aged 91 years,91,Age 91,Aged 85 and over
Aged 92 years,92,Age 85 and over,Aged 85 and over
Aged 92 years,92,Age 92,Aged 85 and over
Aged 93 years,93,Age 85 and over,Aged 85 and over
Aged 93 years,93,Age 93,Aged 85 and over
Aged 94 years,94,Age 85 and over,Aged 85 and over
Aged 94 years,94,Age 94,Aged 85 and over
Aged 95 years,95,Age 85 and over,Aged 85 and over
Aged 95 years,95,Age 95,Aged 85 and over
Aged 96 years,96,Age 85 and over,Aged 85 and over
Aged 96 years,96,Age 96,Aged 85 and over
Aged 97 years,97,Age 85 and over,Aged 85 and over
Aged 97 years,97,Age 97,Aged 85 and over
Aged 98 years,98,Age 85 and over,Aged 85 and over
Aged 98 years,98,Age 98,Aged 85 and over
Aged 99 years,99,Age 85 and over,Aged 85 and over
Aged 99 years,99,Age 99,Aged 85 and over
Aged 100 years and over,100,Age 85 and over,Aged 85 and over
Aged 100 years and over,100,Age 100 and over,Aged 85 and over
