dat_21,num_dat_21,dat_11,common_cats
Europe: United Kingdom,1,Europe: United Kingdom: England,Europe: United Kingdom
Europe: United Kingdom,1,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom
Europe: United Kingdom,1,Europe: United Kingdom: Scotland,Europe: United Kingdom
Europe: United Kingdom,1,Europe: United Kingdom: Wales,Europe: United Kingdom
Europe: United Kingdom,1,Europe: Great Britain not otherwise specified,Europe: United Kingdom
Europe: United Kingdom,1,Europe: United Kingdom not otherwise specified,Europe: United Kingdom
Europe: EU countries: European Union EU14,2,Europe: Ireland,Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU14,2,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU14,2,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU14,2,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU14,2,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU14,2,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU14,2,Europe: Other Europe: EU countries: Member countries in March 2001: Spain: including Canary Islands,Europe: EU countries: European Union EU14
Europe: EU countries: European Union EU8,3,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: EU countries: Other European Union
Europe: EU countries: European Union EU8,3,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: EU countries: Other European Union
Europe: EU countries: European Union EU2,4,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: EU countries: Other European Union
Europe: Non-EU countries: All other non-EU countries,6,Europe: Other Europe: Rest of Europe: Turkey,Europe: Non-EU countries: All other non-EU countries
Europe: Non-EU countries: All other non-EU countries,6,Europe: Guernsey,Europe: Non-EU countries: All other non-EU countries
Europe: Non-EU countries: All other non-EU countries,6,Europe: Jersey,Europe: Non-EU countries: All other non-EU countries
Europe: Non-EU countries: All other non-EU countries,6,Europe: Channel Islands not otherwise specified,Europe: Non-EU countries: All other non-EU countries
Europe: Non-EU countries: All other non-EU countries,6,Europe: Isle of Man,Europe: Non-EU countries: All other non-EU countries
