dat_21,num_dat_21,dat_11,common_cats
Single family household: All aged 66 years and over,3,One family only; All aged 65 and over,Single family household: All aged 66 years and over
Single family household: Cohabiting couple family: All children non-dependent,9,One family only; Cohabiting couple; All children non dependent,Single family household: Cohabiting couple family: All children non-dependent
Single family household: Cohabiting couple family: All children non-dependent,9,One family only; Cohabiting couple; All children non-dependent,Single family household: Cohabiting couple family: All children non-dependent
Single family household: Cohabiting couple family: No children,7,One family only; Cohabiting couple; No children,Single family household: Cohabiting couple family: No children
Single family household: Cohabiting couple family: With dependent children,8,One family only; Cohabiting couple; One dependent child,Single family household: Cohabiting couple family: With dependent children
Single family household: Cohabiting couple family: With dependent children,8,One family only; Cohabiting couple; Two or more dependent children,Single family household: Cohabiting couple family: With dependent children
Single family household: Lone parent family: All children non-dependent,11,One family only; Lone parent; All children non dependent,Single family household: Lone parent family: All children non-dependent
Single family household: Lone parent family: All children non-dependent,11,One family only; Lone parent; All children non-dependent,Single family household: Lone parent family: All children non-dependent
Single family household: Lone parent family: With dependent children,10,One family only; Lone parent; One dependent child,Single family household: Lone parent family: With dependent children
Single family household: Lone parent family: With dependent children,10,One family only; Lone parent; Two or more dependent children,Single family household: Lone parent family: With dependent children
Single family household: Married or civil partnership couple: All children non-dependent,6,One family only; Married couple; All children non dependent,Single family household: Married or civil partnership couple: All children non-dependent
Single family household: Married or civil partnership couple: All children non-dependent,6,One family only; Married couple; All children non-dependent,Single family household: Married or civil partnership couple: All children non-dependent
Single family household: Married or civil partnership couple: No children,4,One family only; Married couple; No children,Single family household: Married or civil partnership couple: No children
Single family household: Married or civil partnership couple: Dependent children,5,One family only; Married couple; One dependent child,Single family household: Married or civil partnership couple: Dependent children
Single family household: Married or civil partnership couple: Dependent children,5,One family only; Married couple; Two or more dependent children,Single family household: Married or civil partnership couple: Dependent children
Single family household: Married or civil partnership couple: All children non-dependent,6,One family only; Same sex civil partnership couple; All children non dependent,Single family household: Married or civil partnership couple: All children non-dependent
Single family household: Married or civil partnership couple: No children,4,One family only; Same sex civil partnership couple; No children,Single family household: Married or civil partnership couple: No children
Single family household: Married or civil partnership couple: Dependent children,5,One family only; Same sex civil partnership couple; One dependent child,Single family household: Married or civil partnership couple: Dependent children
Single family household: Married or civil partnership couple: Dependent children,5,One family only; Same sex civil partnership couple; Two or more dependent children,Single family household: Married or civil partnership couple: Dependent children
Single family household: Married or civil partnership couple: All children non-dependent,6,One family only; Same-sex civil partnership couple; All children non-dependent,Single family household: Married or civil partnership couple: All children non-dependent
Single family household: Married or civil partnership couple: No children,4,One family only; Same-sex civil partnership couple; No children,Single family household: Married or civil partnership couple: No children
Single family household: Married or civil partnership couple: Dependent children,5,One family only; Same-sex civil partnership couple; One dependent child,Single family household: Married or civil partnership couple: Dependent children
Single family household: Married or civil partnership couple: Dependent children,5,One family only; Same-sex civil partnership couple; Two or more dependent children,Single family household: Married or civil partnership couple: Dependent children
One person household: Aged 66 years and over,1,One person household; Aged 65 and over,One person household: Aged 66 years and over
One person household: Other,2,One person household; Other,One person household: Other
"Multiple-family household: Other, including all full-time students and all aged 66 years and over",14,Other household types; All aged 65 and over,Other household types: Other
"Multiple-family household: Other, including all full-time students and all aged 66 years and over",14,Other household types; All full time students,Other household types: Other
"Multiple-family household: Other, including all full-time students and all aged 66 years and over",14,Other household types; All full-time students,Other household types: Other
"Multiple-family household: Other, including all full-time students and all aged 66 years and over",14,Other household types; Other,Other household types: Other
Single family household: Other single family household: Other family composition,12,Other household types; Other,Other household types: Other
Multiple-family household: With dependent children,13,Other household types; With one dependent child,Multiple-family household: With dependent children
Multiple-family household: With dependent children,13,Other household types; With two or more dependent children,Multiple-family household: With dependent children
