dat_21,num_dat_21,dat_11,common_cats
Living in an opposite-sex couple: Married or in a civil partnership,1,Living in a couple; Married,Living in an opposite-sex couple: Married or in a civil partnership
Living in a same-sex couple: Married or in a civil partnership,2,Living in a couple; In a registered same sex civil partnership or cohabiting; same sex,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting"
"Living in a couple: Separated, but still married or in a civil partnership",3,,"Separated, but still married or in a civil partnership"
Living in an opposite-sex couple: Cohabiting,4,Living in a couple; Cohabiting; opposite sex,Living in an opposite-sex couple: Cohabiting
Living in a same-sex couple: Cohabiting,5,Living in a couple; In a registered same sex civil partnership or cohabiting; same sex,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting"
Not living in a couple: Single (never married and never registered a same-sex civil partnership),6,Not living in a couple; Single; never married or never registered a same sex civil partnership,Not living in a couple: Single (never married and never registered a same-sex civil partnership)
Not living in a couple: Married or in a registered civil partnership,7,Not living in a couple; Married or in a registered same sex civil partnership,Not living in a couple: Married or in a registered civil partnership
Not living in a couple: Separated (including those who are married and those who are in civil partnerships),8,Not living in a couple; Separated; but still legally married or still legally in a same sex civil partnership,"Separated, but still married or in a civil partnership"
Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,9,Not living in a couple; Divorced or formerly in a same sex civil partnership which is now legally dissolved,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved
Not living in a couple: Widowed or surviving partner from a civil partnership,10,Not living in a couple; Widowed or surviving partner from a same sex civil partnership,Not living in a couple: Widowed or surviving partner from a civil partnership
Living in a same-sex couple: Married or in a civil partnership,2,Living in a couple; In a registered same-sex civil partnership or cohabiting; same-sex,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting"
"Living in a couple: Separated, but still married or in a civil partnership",3,,"Separated, but still married or in a civil partnership"
Living in an opposite-sex couple: Cohabiting,4,Living in a couple; Cohabiting; opposite-sex,Living in an opposite-sex couple: Cohabiting
Living in an opposite-sex couple: Cohabiting,4,Living in a couple; Cohabiting (opposite-sex),Living in an opposite-sex couple: Cohabiting
Living in a same-sex couple: Cohabiting,5,Living in a couple; In a registered same-sex civil partnership or cohabiting; same-sex,"Living in a same-sex couple: Married, in a civil partnership, or cohabiting"
Living in a same-sex couple: Cohabiting,5,Living in a couple; In a registered same-sex civil partnership or cohabiting (same-sex),"Living in a same-sex couple: Married, in a civil partnership, or cohabiting"
Not living in a couple: Single (never married and never registered a same-sex civil partnership),6,Not living in a couple; Single; never married or never registered a same-sex civil partnership,Not living in a couple: Single (never married and never registered a same-sex civil partnership)
Not living in a couple: Single (never married and never registered a same-sex civil partnership),6,Not living in a couple; Single (never married or never registered a same-sex civil partnership),Not living in a couple: Single (never married and never registered a same-sex civil partnership)
Not living in a couple: Married or in a registered civil partnership,7,Not living in a couple; Married or in a registered same-sex civil partnership,Not living in a couple: Married or in a registered civil partnership
Not living in a couple: Separated (including those who are married and those who are in civil partnerships),8,Not living in a couple; Separated; but still legally married or still legally in a same-sex civil partnership,"Separated, but still married or in a civil partnership"
Not living in a couple: Separated (including those who are married and those who are in civil partnerships),8,Not living in a couple; Separated (but still legally married or still legally in a same-sex civil partnership),"Separated, but still married or in a civil partnership"
Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,9,Not living in a couple; Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved
Not living in a couple: Widowed or surviving partner from a civil partnership,10,Not living in a couple; Widowed or surviving partner from a same-sex civil partnership,Not living in a couple: Widowed or surviving partner from a civil partnership
