dat_21,num_dat_21,dat_11,common_cats
Europe: United Kingdom,1,Europe: United Kingdom,Europe: United Kingdom
dat_2,2,Europe: Ireland,Europe: Ireland
Europe: Other Europe: EU Member countries: France,3,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU Member countries: France
Europe: Other Europe: EU Member countries: Germany,4,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU Member countries: Germany
Europe: Other Europe: EU Member countries: Italy,5,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU Member countries: Italy
Europe: Other Europe: EU Member countries: Portugal,6,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU Member countries: Portugal
Europe: Other Europe: EU Member countries: Spain,7,Europe: Other Europe: EU countries: Member countries in March 2001: Spain,Europe: Other Europe: EU Member countries: Spain
Europe: Other Europe: EU Member countries: Lithuania,8,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU Member countries: Lithuania
Europe: Other Europe: EU Member countries: Poland,9,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU Member countries: Poland
Europe: Other Europe: EU Member countries: Romania,10,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU Member countries: Romania
Europe: Other Europe: EU Member countries: Other EU countries,11,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU Member countries: Other EU countries
Europe: Other Europe: EU Member countries: Other EU countries,11,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: EU Member countries: Other EU countries
Europe: Other Europe: Rest of Europe: Turkey,12,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Turkey
Europe: Other Europe: Rest of Europe: Other Europe,13,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: Rest of Europe: Other Europe
Africa: North Africa,14,Africa: North Africa,Africa: North Africa
Africa: Central and Western Africa: Ghana,15,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Ghana
Africa: Central and Western Africa: Nigeria,16,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Nigeria
