dat_21,num_dat_21,dat_11,common_cats
Arrived before 1951,2,Arrived 1941 1950,Arrived before 1951
Arrived 1951 to 1960,3,Arrived 1951 1960,Arrived 1951 to 1960
Arrived 1961 to 1970,4,Arrived 1961 1970,Arrived 1961 to 1970
Arrived 1971 to 1980,5,Arrived 1971 1980,Arrived 1971 to 1980
Arrived 1981 to 1990,6,Arrived 1981 1990,Arrived 1981 to 1990
Arrived 1991 to 2000,7,Arrived 1991 2000,Arrived 1991 to 2000
Arrived 2001 to 2010,8,Arrived 2001 2003,Arrived 2001 to 2013
Arrived 2001 to 2010,8,Arrived 2004 2006,Arrived 2001 to 2013
Arrived 2001 to 2010,8,Arrived 2007 2009,Arrived 2001 to 2013
Arrived 2011 to 2013,9,Arrived 2010 2011,Arrived 2001 to 2013
Arrived 2014 to 2016,10,,Arrived after 2013
Arrived 2017 to 2019,11,,Arrived after 2013
Arrived 2020 to 2021,12,,Arrived after 2013
Arrived before 1951,2,Arrived before 1941,Arrived before 1951
Born in the UK,1,Born in the UK,Born in the UK
Arrived before 1951,2,Arrived 1941-1950,Arrived before 1951
Arrived 1951 to 1960,3,Arrived 1951-1960,Arrived 1951 to 1960
Arrived 1961 to 1970,4,Arrived 1961-1970,Arrived 1961 to 1970
Arrived 1971 to 1980,5,Arrived 1971-1980,Arrived 1971 to 1980
Arrived 1981 to 1990,6,Arrived 1981-1990,Arrived 1981 to 1990
Arrived 1991 to 2000,7,Arrived 1991-2000,Arrived 1991 to 2000
Arrived 2001 to 2010,8,Arrived 2001-2003,Arrived 2001 to 2013
Arrived 2001 to 2010,8,Arrived 2004-2006,Arrived 2001 to 2013
Arrived 2001 to 2010,8,Arrived 2007-2009,Arrived 2001 to 2013
Arrived 2011 to 2013,9,Arrived 2010-2011,Arrived 2001 to 2013
