dat_21,num_dat_21,dat_11,common_cats
Main language is English (English or Welsh in Wales),1,Main language is English (English or Welsh in Wales),Main language is English (English or Welsh in Wales)
Main language is English: English or Welsh in Wales,1,Main language is English: English or Welsh in Wales,Main language is English (English or Welsh in Wales)
Main language is not English (English or Welsh in Wales): Can speak English very well,2,Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English very well
Main language is not English: English or Welsh in Wales: Can speak English very well,2,Main language is not English: English or Welsh in Wales: Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English very well
Main language is not English (English or Welsh in Wales): Can speak English well,3,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Can speak English well
Main language is not English: English or Welsh in Wales: Can speak English well,3,Main language is not English: English or Welsh in Wales: Can speak English well,Main language is not English (English or Welsh in Wales): Can speak English well
Main language is not English (English or Welsh in Wales): Cannot speak English well,4,Main language is not English (English or Welsh in Wales): Cannot speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English well
Main language is not English: English or Welsh in Wales: Cannot speak English well,4,Main language is not English: English or Welsh in Wales: Cannot speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English well
Main language is not English (English or Welsh in Wales): Cannot speak English,5,Main language is not English (English or Welsh in Wales): Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English
Main language is not English: English or Welsh in Wales: Cannot speak English,5,Main language is not English: English or Welsh in Wales: Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English
