dat_21,num_dat_21,dat_11,common_cats
"Asian, Asian British or Asian Welsh: Bangladeshi",1,Asian/Asian British: Bangladeshi,"Asian, Asian British or Asian Welsh: Bangladeshi"
"Asian, Asian British or Asian Welsh: Bangladeshi",1,Asian Asian British: Bangladeshi,"Asian, Asian British or Asian Welsh: Bangladeshi"
"Asian, Asian British or Asian Welsh: Chinese",2,Asian/Asian British: Chinese,"Asian, Asian British or Asian Welsh: Chinese"
"Asian, Asian British or Asian Welsh: Chinese",2,Asian Asian British: Chinese,"Asian, Asian British or Asian Welsh: Chinese"
"Asian, Asian British or Asian Welsh: Indian",3,Asian/Asian British: Indian,"Asian, Asian British or Asian Welsh: Indian"
"Asian, Asian British or Asian Welsh: Indian",3,Asian Asian British: Indian,"Asian, Asian British or Asian Welsh: Indian"
"Asian, Asian British or Asian Welsh: Pakistani",4,Asian/Asian British: Pakistani,"Asian, Asian British or Asian Welsh: Pakistani"
"Asian, Asian British or Asian Welsh: Pakistani",4,Asian Asian British: Pakistani,"Asian, Asian British or Asian Welsh: Pakistani"
"Asian, Asian British or Asian Welsh: Other Asian",5,Asian/Asian British: Other Asian,"Asian, Asian British or Asian Welsh: Other Asian"
"Asian, Asian British or Asian Welsh: Other Asian",5,Asian Asian British: Other Asian,"Asian, Asian British or Asian Welsh: Other Asian"
"Black, Black British, Black Welsh, Caribbean or African: African",6,Black/African/Caribbean/Black British: African,"Black, Black British, Black Welsh, Caribbean or African: African"
"Black, Black British, Black Welsh, Caribbean or African: African",6,Black African Caribbean Black British: African,"Black, Black British, Black Welsh, Caribbean or African: African"
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Black/African/Caribbean/Black British: Caribbean,"Black, Black British, Black Welsh, Caribbean or African: Caribbean"
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Black African Caribbean Black British: Caribbean,"Black, Black British, Black Welsh, Caribbean or African: Caribbean"
"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,Black/African/Caribbean/Black British: Other Black,"Black, Black British, Black Welsh, Caribbean or African: Other Black"
"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,Black African Caribbean Black British: Other Black,"Black, Black British, Black Welsh, Caribbean or African: Other Black"
Mixed or Multiple ethnic groups: White and Asian,9,Mixed/multiple ethnic group: White and Asian,Mixed or Multiple ethnic groups: White and Asian
Mixed or Multiple ethnic groups: White and Asian,9,Mixed multiple ethnic group: White and Asian,Mixed or Multiple ethnic groups: White and Asian
Mixed or Multiple ethnic groups: White and Black African ,10,Mixed/multiple ethnic group: White and Black African,Mixed or Multiple ethnic groups: White and Black African 
Mixed or Multiple ethnic groups: White and Black African ,10,Mixed multiple ethnic group: White and Black African,Mixed or Multiple ethnic groups: White and Black African 
Mixed or Multiple ethnic groups: White and Black Caribbean,11,Mixed/multiple ethnic group: White and Black Caribbean,Mixed or Multiple ethnic groups: White and Black Caribbean
Mixed or Multiple ethnic groups: White and Black Caribbean,11,Mixed multiple ethnic group: White and Black Caribbean,Mixed or Multiple ethnic groups: White and Black Caribbean
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12,Mixed/multiple ethnic group: Other Mixed,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12,Mixed multiple ethnic group: Other Mixed,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
"White: English, Welsh, Scottish, Northern Irish or British",13,White: English/Welsh/Scottish/Northern Irish/British,"White: English, Welsh, Scottish, Northern Irish or British"
"White: English, Welsh, Scottish, Northern Irish or British",13,White: English Welsh Scottish Northern Irish British,"White: English, Welsh, Scottish, Northern Irish or British"
White: Irish,14,White: Irish,White: Irish
White: Gypsy or Irish Traveller,15,White: Gypsy or Irish Traveller,White: Gypsy or Irish Traveller
White: Roma,16,,White: Other White
White: Other White,17,White: Other White,White: Other White
Other ethnic group: Arab,18,Other ethnic group: Arab,Other ethnic group: Arab
Other ethnic group: Any other ethnic group,19,Other ethnic group: Any other ethnic group,Other ethnic group: Any other ethnic group
