dat_21,num_dat_21,dat_11,common_cats
English (English or Welsh in Wales),1,English (English or Welsh if in Wales),English (English or Welsh in Wales)
Welsh or Cymraeg (in England only),2,Welsh/Cymraeg (in England only),Welsh or Cymraeg (in England only)
Other UK language: Gaelic (Irish),3,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Irish)
Other UK language: Gaelic (Scottish),4,Other UK language: Gaelic (Scottish),Other UK language: Gaelic (Scottish)
Other UK language: Manx Gaelic,5,Other UK language: Manx Gaelic,Other UK language: Manx Gaelic
Other UK language: Gaelic (Not otherwise specified),6,Other UK language: Gaelic (Not otherwise specified),Other UK language: Gaelic (Not otherwise specified)
Other UK language: Cornish,7,Other UK language: Cornish,Other UK language: Cornish
Other UK language: Scots,8,Other UK language: Scots,Other UK language: Scots
Other UK language: Ulster Scots,9,,Other language
Other UK language: Romany English,10,Other UK language: Gypsy/Traveller languages,Other UK language: Gypsy or Traveller languages
Other UK language: Irish Traveller Cant,11,Other UK language: Gypsy/Traveller languages,Other UK language: Gypsy or Traveller languages
French,12,French,French
Portuguese,13,Portuguese,Portuguese
Spanish,14,Spanish,Spanish
Other European language (EU): Italian,15,Other European Language (EU): Italian,Other European language (EU): Italian
Other European language (EU): German,16,Other European Language (EU): German,Other European language (EU): German
Other European language (EU): Polish,17,Other European Language (EU): Polish,Other European language (EU): Polish
Other European language (EU): Slovak,18,Other European Language (EU): Slovak,Other European language (EU): Slovak
Other European language (EU): Czech,19,Other European Language (EU): Czech,Other European language (EU): Czech
Other European language (EU): Romanian,20,Other European Language (EU): Romanian,Other European language (EU): Romanian
Other European language (EU): Lithuanian,21,Other European Language (EU): Lithuanian,Other European language (EU): Lithuanian
Other European language (EU): Latvian,22,Other European Language (EU): Latvian,Other European language (EU): Latvian
Other European language (EU): Hungarian,23,Other European Language (EU): Hungarian,Other European language (EU): Hungarian
Other European language (EU): Bulgarian,24,Other European Language (EU): Bulgarian,Other European language (EU): Bulgarian
Other European language (EU): Greek,25,Other European Language (EU): Greek,Other European language (EU): Greek
Other European language (EU): Dutch,26,Other European Language (EU): Dutch,Other European language (EU): Dutch
Other European language (EU): Swedish,27,Other European Language (EU): Swedish,Other European language (EU): Swedish
Other European language (EU): Danish,28,Other European Language (EU): Danish,Other European language (EU): Danish
Other European language (EU): Finnish,29,Other European Language (EU): Finnish,Other European language (EU): Finnish
Other European language (EU): Estonian,30,Other European Language (EU): Estonian,Other European language (EU): Estonian
Other European language (EU): Slovenian,31,Other European Language (EU): Slovenian,Other European language (EU): Slovenian
Other European language (EU): Maltese,32,Other European Language (EU): Maltese,Other European language (EU): Maltese
Other European language (EU): Any other European language (EU),33,Other European Language (EU): Any other European Language (EU),Other European language (EU): Any other European language (EU)
Other European language (non EU): Albanian,34,Other European Language (non EU): Albanian,Other European language (non EU): Albanian
Other European language (non EU): Ukrainian,35,Other European Language (non EU): Ukrainian,Other European language (non EU): Ukrainian
Other European language (non EU): Any other Eastern European language (non EU),36,Other European Language (non EU): Any other Eastern European Language (non EU),Other European language (non EU): Any other Eastern European language (non EU)
Other European language (non EU): Northern European language (non EU),37,Other European Language (non EU): Northern European Language (non EU),Other European language (non EU): Northern European language (non EU)
"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin",38,Other European Language (non EU): Serbian/Croatian/Bosnian,"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin"
Other European language (non-national): Any Romani language,39,Other European Language (non-national): Romani language (any),Other European language (non-national): Any Romani language
Other European language (non-national): Yiddish,40,Other European Language (non-national): Yiddish,Other European language (non-national): Yiddish
Russian,41,Russian,Russian
Turkish,42,Turkish,Turkish
Arabic,43,Arabic,Arabic
West or Central Asian language: Hebrew,44,West/Central Asian Language: Hebrew,West or Central Asian language: Hebrew
West or Central Asian language: Kurdish,45,West/Central Asian Language: Kurdish,West or Central Asian language: Kurdish
West or Central Asian language: Persian or Farsi,46,West/Central Asian Language: Persian/Farsi,West or Central Asian language: Persian or Farsi
West or Central Asian language: Pashto,47,West/Central Asian Language: Pashto,West or Central Asian language: Pashto
