orig_names_21,plot_name_21,orig_names,plot_name
Europe: United Kingdom,United Kingdom,Europe: United Kingdom,United Kingdom
Europe: Ireland,Ireland,Europe: Ireland,Ireland
Europe: Other Europe: EU Member countries: France,France,Europe: Other Europe: EU Member countries: France,France
Europe: Other Europe: EU Member countries: Germany,Germany,Europe: Other Europe: EU Member countries: Germany,Germany
Europe: Other Europe: EU Member countries: Italy,Italy,Europe: Other Europe: EU Member countries: Italy,Italy
Europe: Other Europe: EU Member countries: Portugal,Portugal,Europe: Other Europe: EU Member countries: Portugal,Portugal
Europe: Other Europe: EU Member countries: Spain,Spain,Europe: Other Europe: EU Member countries: Spain,Spain
Europe: Other Europe: EU Member countries: Lithuania,Lithuania,Europe: Other Europe: EU Member countries: Lithuania,Lithuania
Europe: Other Europe: EU Member countries: Poland,Poland,Europe: Other Europe: EU Member countries: Poland,Poland
Europe: Other Europe: EU Member countries: Romania,Romania,Europe: Other Europe: EU Member countries: Romania,Romania
Europe: Other Europe: EU Member countries: Other EU countries,Other EU countries,Europe: Other Europe: EU Member countries: Other EU countries,Other EU countries
Europe: Other Europe: Rest of Europe: Turkey,Turkey,Europe: Other Europe: Rest of Europe: Turkey,Turkey
Europe: Other Europe: Rest of Europe: Other Europe,Other Europe,Europe: Other Europe: Rest of Europe: Other Europe,Other Europe
Africa: North Africa,North Africa,Africa: North Africa,North Africa
Africa: Central and Western Africa,Central and Western Africa,Africa: Central and Western Africa,Central and Western Africa
Africa: South and Eastern Africa,South and Eastern Africa,Africa: South and Eastern Africa,South and Eastern Africa
Middle East and Asia: Middle East,Middle East,Middle East and Asia: Middle East,Middle East
Middle East and Asia: Eastern Asia,Eastern Asia,Middle East and Asia: Eastern Asia,Eastern Asia
Middle East and Asia: Southern Asia,Southern Asia,Middle East and Asia: Southern Asia,Southern Asia
Middle East and Asia: South-East Asia,South-East Asia,Middle East and Asia: South-East Asia,South-East Asia
Middle East and Asia: Central Asia,Central Asia,Middle East and Asia: Central Asia,Central Asia
The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,North America and the Caribbean
The Americas and the Caribbean: Central and South America,Central and South America,The Americas and the Caribbean: Central and South America,Central and South America
"Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia"
British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories
No passport held,No passport held,No passport held,No passport held
