orig_names,plot_name
Europe: United Kingdom,United Kingdom
Europe: Ireland,Ireland
Europe: Other Europe: EU Member countries: France,EU: France
Europe: Other Europe: EU Member countries: Germany,EU: Germany
Europe: Other Europe: EU Member countries: Italy,EU: Italy
Europe: Other Europe: EU Member countries: Portugal,EU: Portugal
Europe: Other Europe: EU Member countries: Spain,EU: Spain
Europe: Other Europe: EU Member countries: Lithuania,EU: Lithuania
Europe: Other Europe: EU Member countries: Poland,EU: Poland
Europe: Other Europe: EU Member countries: Romania,EU: Romania
Europe: Other Europe: EU Member countries: Other EU countries,EU: Other EU countries
Europe: Other Europe: Rest of Europe: Turkey,Rest of Europe: Turkey
Europe: Other Europe: Rest of Europe: Other Europe,Rest of Europe: Other Europe
Africa: North Africa,North Africa
Africa: Central and Western Africa: Ghana,Ghana
Africa: Central and Western Africa: Nigeria,Nigeria
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa
Africa: South and Eastern Africa: Kenya,Kenya
Africa: South and Eastern Africa: Somalia,Somalia
Africa: South and Eastern Africa: South Africa,South Africa
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe
Africa: South and Eastern Africa: Other South and Eastern Africa,Other South and Eastern Africa
Middle East and Asia: Middle East: Iran,Iran
Middle East and Asia: Middle East: Iraq,Iraq
Middle East and Asia: Middle East: Other Middle East,Other Middle East
Middle East and Asia: Eastern Asia: China,China
Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Hong Kong
Middle East and Asia: Eastern Asia: Japan,Japan
Middle East and Asia: Eastern Asia: Other Eastern Asia,Other Eastern Asia
Middle East and Asia: Southern Asia: Afghanistan,Afghanistan
Middle East and Asia: Southern Asia: Bangladesh,Bangladesh
Middle East and Asia: Southern Asia: India,India
Middle East and Asia: Southern Asia: Pakistan,Pakistan
Middle East and Asia: Southern Asia: Sri Lanka,Sri Lanka
Middle East and Asia: Southern Asia: Other Southern Asia,Other Southern Asia
Middle East and Asia: South-East Asia: Malaysia,Malaysia
Middle East and Asia: South-East Asia: Philippines,Philippines
Middle East and Asia: South-East Asia: Singapore,Singapore
Middle East and Asia: South-East Asia: Other South-East Asia,Other South-East Asia
Middle East and Asia: Central Asia,Central Asia
The Americas and the Caribbean: North America: Canada,Canada
The Americas and the Caribbean: North America: United States,United States
The Americas and the Caribbean: Central America,Central America
The Americas and the Caribbean: South America,South America
The Americas and the Caribbean: The Caribbean: Jamaica,Jamaica
The Americas and the Caribbean: The Caribbean: Other Caribbean,Other Caribbean
Antarctica and Oceania: Australasia: Australia,Australia
Antarctica and Oceania: Australasia: New Zealand,New Zealand
Antarctica and Oceania: Other Oceania,Other Oceania
British Overseas Territories,British Overseas Territories
No passport held,No passport held
