orig_names_21,plot_name_21,orig_names,plot_name
Arrived before 1951,Before 1951,Arrived before 1951,Before 1951
Arrived 1951 to 1960,1951-1960,Arrived 1951 to 1960,1951-1960
Arrived 1961 to 1970,1961-1970,Arrived 1961 to 1970,1961-1970
Arrived 1971 to 1980,1971-1980,Arrived 1971 to 1980,1971-1980
Arrived 1981 to 1990,1981-1990,Arrived 1981 to 1990,1981-1990
Arrived 1991 to 2000,1991-2000,Arrived 1991 to 2000,1991-2000
Arrived 2001 to 2010,2001-2010,Arrived 2001 to 2013,2001-2013
Arrived 2001 to 2010,2001-2010,Arrived 2001 to 2013,2001-2013
Arrived 2001 to 2010,2001-2010,Arrived 2001 to 2013,2001-2013
Arrived 2011 to 2013,2011-2013,Arrived 2001 to 2013,2001-2013
Arrived 2014 to 2016,2014-2016,Arrived after 2013,After 2013
Arrived 2017 to 2019,2017-2019,Arrived after 2013,After 2013
Arrived 2020 to 2021,2020-2021,Arrived after 2013,After 2013
Born in the UK,Born in UK,Born in the UK,Born in UK
