orig_names_21,plot_name_21,orig_names,plot_name
"Asian, Asian British or Asian Welsh: Bangladeshi",Bangladeshi,"Asian, Asian British or Asian Welsh: Bangladeshi",Bangladeshi
"Asian, Asian British or Asian Welsh: Chinese",Chinese,"Asian, Asian British or Asian Welsh: Chinese",Chinese
"Asian, Asian British or Asian Welsh: Indian",Indian,"Asian, Asian British or Asian Welsh: Indian",Indian
"Asian, Asian British or Asian Welsh: Pakistani",Pakistani,"Asian, Asian British or Asian Welsh: Pakistani",Pakistani
"Asian, Asian British or Asian Welsh: Other Asian",Other Asian,"Asian, Asian British or Asian Welsh: Other Asian",Other Asian
"Black, Black British, Black Welsh, Caribbean or African: African",Black African,"Black, Black British, Black Welsh, Caribbean or African: African",Black African
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",Black Caribbean,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",Black Caribbean
"Black, Black British, Black Welsh, Caribbean or African: Other Black",Other Black,"Black, Black British, Black Welsh, Caribbean or African: Other Black",Other Black
Mixed or Multiple ethnic groups: White and Asian,White and Asian,Mixed or Multiple ethnic groups: White and Asian,White and Asian
Mixed or Multiple ethnic groups: White and Black African ,White and Black African,Mixed or Multiple ethnic groups: White and Black African ,White and Black African
Mixed or Multiple ethnic groups: White and Black Caribbean,White and Black Caribbean,Mixed or Multiple ethnic groups: White and Black Caribbean,White and Black Caribbean
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Other Mixed,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Other Mixed
"White: English, Welsh, Scottish, Northern Irish or British",British,"White: English, Welsh, Scottish, Northern Irish or British",British
White: Irish,Irish,White: Irish,Irish
White: Gypsy or Irish Traveller,Gypsy or Irish Traveller,White: Gypsy or Irish Traveller,Gypsy or Irish Traveller
White: Roma,Roma,White: Other White,Other White
White: Other White,Other White,White: Other White,Other White
Other ethnic group: Arab,Arab,Other ethnic group: Arab,Arab
Other ethnic group: Any other ethnic group,Any other,Other ethnic group: Any other ethnic group,Any other
