orig_names_21,plot_name_21,orig_names,plot_names
English (English or Welsh in Wales),English,English (English or Welsh in Wales),English
Welsh or Cymraeg (in England only),Welsh,Welsh or Cymraeg (in England only),Welsh
Other UK language: Gaelic (Irish),Gaelic (Irish),Other UK language: Gaelic (Irish),Gaelic (Irish)
Other UK language: Gaelic (Scottish),Gaelic (Scottish),Other UK language: Gaelic (Scottish),Gaelic (Scottish)
Other UK language: Manx Gaelic,Manx Gaelic,Other UK language: Manx Gaelic,Manx Gaelic
Other UK language: Gaelic (Not otherwise specified),Gaelic (Not otherwise specified),Other UK language: Gaelic (Not otherwise specified),Gaelic (Not otherwise specified)
Other UK language: Cornish,Cornish,Other UK language: Cornish,Cornish
Other UK language: Scots,Scots,Other UK language: Scots,Scots
Other UK language: Ulster Scots,Ulster Scots,Other UK language: Ulster Scots,Ulster Scots
Other UK language: Romany English,Romany English,Other UK language: Gypsy or Traveller languages,Gypsy or Traveller languages
Other UK language: Irish Traveller Cant,Irish Traveller Cant,Other UK language: Gypsy or Traveller languages,Gypsy or Traveller languages
French,French,French,French
Portuguese,Portuguese,Portuguese,Portuguese
Spanish,Spanish,Spanish,Spanish
Other European language (EU): Italian,Italian,Other European language (EU): Italian,Italian
Other European language (EU): German,German,Other European language (EU): German,German
Other European language (EU): Polish,Polish,Other European language (EU): Polish,Polish
Other European language (EU): Slovak,Slovak,Other European language (EU): Slovak,Slovak
Other European language (EU): Czech,Czech,Other European language (EU): Czech,Czech
Other European language (EU): Romanian,Romanian,Other European language (EU): Romanian,Romanian
Other European language (EU): Lithuanian,Lithuanian,Other European language (EU): Lithuanian,Lithuanian
Other European language (EU): Latvian,Latvian,Other European language (EU): Latvian,Latvian
Other European language (EU): Hungarian,Hungarian,Other European language (EU): Hungarian,Hungarian
Other European language (EU): Bulgarian,Bulgarian,Other European language (EU): Bulgarian,Bulgarian
Other European language (EU): Greek,Greek,Other European language (EU): Greek,Greek
Other European language (EU): Dutch,Dutch,Other European language (EU): Dutch,Dutch
Other European language (EU): Swedish,Swedish,Other European language (EU): Swedish,Swedish
Other European language (EU): Danish,Danish,Other European language (EU): Danish,Danish
Other European language (EU): Finnish,Finnish,Other European language (EU): Finnish,Finnish
Other European language (EU): Estonian,Estonian,Other European language (EU): Estonian,Estonian
Other European language (EU): Slovenian,Slovenian,Other European language (EU): Slovenian,Slovenian
Other European language (EU): Maltese,Maltese,Other European language (EU): Maltese,Maltese
Other European language (EU): Any other European language (EU),Any other European language (EU),Other European language (EU): Any other European language (EU),Any other European language (EU)
Other European language (non EU): Albanian,Albanian,Other European language (non EU): Albanian,Albanian
Other European language (non EU): Ukrainian,Ukrainian,Other European language (non EU): Ukrainian,Ukrainian
Other European language (non EU): Any other Eastern European language (non EU),Any other Eastern European language (non EU),Other European language (non EU): Any other Eastern European language (non EU),Any other Eastern European language (non EU)
Other European language (non EU): Northern European language (non EU),Northern European language (non EU),Other European language (non EU): Northern European language (non EU),Northern European language (non EU)
"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin","Bosnian, Croatian, Serbian, and Montenegrin","Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin","Bosnian, Croatian, Serbian, and Montenegrin"
Other European language (non-national): Any Romani language,Any Romani language,Other European language (non-national): Any Romani language,Any Romani language
Other European language (non-national): Yiddish,Yiddish,Other European language (non-national): Yiddish,Yiddish
Russian,Russian,Russian,Russian
Turkish,Turkish,Turkish,Turkish
Arabic,Arabic,Arabic,Arabic
West or Central Asian language: Hebrew,Hebrew,West or Central Asian language: Hebrew,Hebrew
West or Central Asian language: Kurdish,Kurdish,West or Central Asian language: Kurdish,Kurdish
West or Central Asian language: Persian or Farsi,Persian or Farsi,West or Central Asian language: Persian or Farsi,Persian or Farsi
West or Central Asian language: Pashto,Pashto,West or Central Asian language: Pashto,Pashto
West or Central Asian language: Any other West or Central Asian language,Any other West or Central Asian language,West or Central Asian language: Any other West or Central Asian language,Any other West or Central Asian language
South Asian language: Urdu,Urdu,South Asian language: Urdu,Urdu
South Asian language: Hindi,Hindi,South Asian language: Hindi,Hindi
South Asian language: Panjabi,Panjabi,South Asian language: Panjabi,Panjabi
South Asian language: Pakistani Pahari (with Mirpuri and Potwari),Pakistani Pahari,South Asian language: Pakistani Pahari (with Mirpuri and Potwari),Pakistani Pahari
South Asian language: Bengali (with Sylheti and Chatgaya),Bengali,South Asian language: Bengali (with Sylheti and Chatgaya),Bengali
South Asian language: Gujarati,Gujarati,South Asian language: Gujarati,Gujarati
South Asian language: Marathi,Marathi,South Asian language: Marathi,Marathi
South Asian language: Telugu,Telugu,South Asian language: Telugu,Telugu
South Asian language: Tamil,Tamil,South Asian language: Tamil,Tamil
South Asian language: Malayalam,Malayalam,South Asian language: Malayalam,Malayalam
South Asian language: Sinhala,Sinhala,South Asian language: Sinhala,Sinhala
South Asian language: Nepalese,Nepalese,South Asian language: Nepalese,Nepalese
South Asian language: Any other South Asian language,Any other South Asian language,South Asian language: Any other South Asian language,Any other South Asian language
East Asian language: Mandarin Chinese,Mandarin Chinese,East Asian language: Mandarin Chinese,Mandarin Chinese
East Asian language: Cantonese Chinese,Cantonese Chinese,East Asian language: Cantonese Chinese,Cantonese Chinese
East Asian language: All other Chinese,All other Chinese,East Asian language: All other Chinese,All other Chinese
East Asian language: Japanese,Japanese,East Asian language: Japanese,Japanese
East Asian language: Korean,Korean,East Asian language: Korean,Korean
