LSOA11CD,ward_gss,lsoa_ward_weight,gss
E01000001,E09000001_01,0.900662252,E09000001
E01000001,E09000001_11,0,E09000001
E01000001,E09000001_17,0.099337748,E09000001
E01000002,E09000001_03,0,E09000001
E01000002,E09000001_11,0,E09000001
E01000002,E09000001_12,0,E09000001
E01000002,E09000001_15,1,E09000001
E01000003,E09000001_01,0.246621622,E09000001
E01000003,E09000001_15,0.753378378,E09000001
E01000005,E09000001_02,0,E09000001
E01000005,E09000001_05,0,E09000001
E01000005,E09000001_21,0.772802653,E09000001
E01000005,E09000001_23,0.227197347,E09000001
E01000006,E09000002_14,1,E09000002
E01000007,E09000002_14,1,E09000002
E01000008,E09000002_14,1,E09000002
E01000009,E09000002_14,1,E09000002
E01000010,E09000002_01,0.788870704,E09000002
E01000010,E09000002_14,0.211129296,E09000002
E01000011,E09000002_14,1,E09000002
E01000012,E09000002_14,1,E09000002
E01000013,E09000002_02,0.366718028,E09000002
E01000013,E09000002_15,0.633281972,E09000002
E01000014,E09000002_02,0,E09000002
E01000014,E09000002_15,1,E09000002
E01000015,E09000002_02,1,E09000002
E01000016,E09000002_02,1,E09000002
E01000016,E09000002_15,0,E09000002
E01000017,E09000002_02,0.191869919,E09000002
E01000017,E09000002_15,0.808130081,E09000002
E01000018,E09000002_02,1,E09000002
E01000019,E09000002_05,1,E09000002
E01000020,E09000002_05,1,E09000002
E01000021,E09000002_05,0.936560935,E09000002
E01000021,E09000002_13,0.063439065,E09000002
E01000022,E09000002_05,1,E09000002
E01000023,E09000002_05,0.333333333,E09000002
E01000023,E09000002_13,0.666666667,E09000002
E01000024,E09000002_05,0.494600432,E09000002
E01000024,E09000002_13,0.505399568,E09000002
E01000025,E09000002_13,1,E09000002
E01000027,E09000002_06,1,E09000002
E01000028,E09000002_06,1,E09000002
E01000029,E09000002_06,1,E09000002
E01000030,E09000002_06,1,E09000002
E01000031,E09000002_06,1,E09000002
E01000032,E09000002_06,1,E09000002
E01000033,E09000002_07,1,E09000002
E01000034,E09000002_07,1,E09000002
E01000035,E09000002_02,0.757673667,E09000002
E01000035,E09000002_07,0.242326333,E09000002
E01000036,E09000002_02,1,E09000002
E01000037,E09000002_07,1,E09000002
E01000038,E09000002_07,1,E09000002
E01000039,E09000002_07,1,E09000002
E01000040,E09000002_08,1,E09000002
E01000041,E09000002_08,1,E09000002
E01000042,E09000002_08,1,E09000002
E01000043,E09000002_08,1,E09000002
E01000044,E09000002_08,1,E09000002
E01000045,E09000002_08,1,E09000002
E01000046,E09000002_08,1,E09000002
E01000048,E09000002_09,1,E09000002
E01000049,E09000002_09,1,E09000002
