ZONEID,ward_name,la_distric,la_gsscode
E00000453,Thames View,Barking and Dagenham,E09000002
E00000454,Thames View,Barking and Dagenham,E09000002
E00000462,Thames View,Barking and Dagenham,E09000002
E00000465,Thames View,Barking and Dagenham,E09000002
E00000466,Thames View,Barking and Dagenham,E09000002
E00000467,Thames View,Barking and Dagenham,E09000002
E00000470,Thames View,Barking and Dagenham,E09000002
E00000471,Thames View,Barking and Dagenham,E09000002
E00000472,Thames View,Barking and Dagenham,E09000002
E00000478,Thames View,Barking and Dagenham,E09000002
E00000480,Thames View,Barking and Dagenham,E09000002
E00000451,Barking Riverside,Barking and Dagenham,E09000002
E00000452,Barking Riverside,Barking and Dagenham,E09000002
E00000455,Barking Riverside,Barking and Dagenham,E09000002
E00000456,Barking Riverside,Barking and Dagenham,E09000002
E00000457,Barking Riverside,Barking and Dagenham,E09000002
E00000463,Barking Riverside,Barking and Dagenham,E09000002
E00000464,Barking Riverside,Barking and Dagenham,E09000002
E00000468,Barking Riverside,Barking and Dagenham,E09000002
E00000469,Barking Riverside,Barking and Dagenham,E09000002
E00000474,Barking Riverside,Barking and Dagenham,E09000002
E00000475,Barking Riverside,Barking and Dagenham,E09000002
E00000476,Barking Riverside,Barking and Dagenham,E09000002
E00000477,Barking Riverside,Barking and Dagenham,E09000002
E00000479,Barking Riverside,Barking and Dagenham,E09000002
E00000234,Gascoigne,Barking and Dagenham,E09000002
E00000235,Gascoigne,Barking and Dagenham,E09000002
E00000236,Gascoigne,Barking and Dagenham,E09000002
E00000237,Gascoigne,Barking and Dagenham,E09000002
E00000238,Gascoigne,Barking and Dagenham,E09000002
E00000239,Gascoigne,Barking and Dagenham,E09000002
E00000240,Gascoigne,Barking and Dagenham,E09000002
E00000241,Gascoigne,Barking and Dagenham,E09000002
E00000242,Gascoigne,Barking and Dagenham,E09000002
E00000243,Gascoigne,Barking and Dagenham,E09000002
E00000244,Gascoigne,Barking and Dagenham,E09000002
E00000245,Gascoigne,Barking and Dagenham,E09000002
E00000248,Gascoigne,Barking and Dagenham,E09000002
E00000250,Gascoigne,Barking and Dagenham,E09000002
E00000251,Gascoigne,Barking and Dagenham,E09000002
E00000252,Gascoigne,Barking and Dagenham,E09000002
E00000253,Gascoigne,Barking and Dagenham,E09000002
E00000254,Gascoigne,Barking and Dagenham,E09000002
E00000255,Gascoigne,Barking and Dagenham,E09000002
E00000256,Gascoigne,Barking and Dagenham,E09000002
E00000257,Gascoigne,Barking and Dagenham,E09000002
E00000258,Gascoigne,Barking and Dagenham,E09000002
E00000259,Gascoigne,Barking and Dagenham,E09000002
E00000260,Gascoigne,Barking and Dagenham,E09000002
E00000261,Gascoigne,Barking and Dagenham,E09000002
E00000263,Gascoigne,Barking and Dagenham,E09000002
E00000264,Gascoigne,Barking and Dagenham,E09000002
E00000062,Abbey,Barking and Dagenham,E09000002
E00000063,Abbey,Barking and Dagenham,E09000002
E00000246,Abbey,Barking and Dagenham,E09000002
E00000247,Abbey,Barking and Dagenham,E09000002
E00000249,Abbey,Barking and Dagenham,E09000002
E00000420,Beam,Barking and Dagenham,E09000002
E00000421,Beam,Barking and Dagenham,E09000002
E00000422,Beam,Barking and Dagenham,E09000002
E00000424,Beam,Barking and Dagenham,E09000002
E00000425,Beam,Barking and Dagenham,E09000002
E00000426,Beam,Barking and Dagenham,E09000002
E00000427,Beam,Barking and Dagenham,E09000002
E00000428,Beam,Barking and Dagenham,E09000002
E00000429,Beam,Barking and Dagenham,E09000002
