OA21CD,LSOA21CD,MSOA21CD,LAD22CD,LAD22NM,WD22CD,WD22NM,area_of_OA_inside_ward
E00000003,E01000001,E02000001,E09000001,City of London,E05009288,Aldersgate,4186.97073
E00000010,E01000003,E02000001,E09000001,City of London,E05009302,Cripplegate,2530.082655
E00000010,E01000003,E02000001,E09000001,City of London,E05013699,Bunhill,2.968933776
E00000031,E01000005,E02000001,E09000001,City of London,E05009308,Portsoken,1791.646509
E00000198,E01000033,E02000007,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,2851.624147
E00002570,E01000522,E02000117,E09000005,Brent,E05013501,Harlesden & Kensal Green,6039.646473
E00002570,E01000522,E02000117,E09000005,Brent,E05013509,Roundwood,1022.318859
E00002669,E01000551,E02000126,E09000005,Brent,E05013503,Kilburn,4952.598583
E00002678,E01000544,E02000126,E09000005,Brent,E05013503,Kilburn,4605.568367
E00002679,E01000552,E02000126,E09000005,Brent,E05013503,Kilburn,3945.304794
E00002680,E01000544,E02000126,E09000005,Brent,E05013503,Kilburn,6456.767846
E00002721,E01000561,E02000115,E09000005,Brent,E05013499,Cricklewood & Mapesbury,7248.863999
E00002736,E01000557,E02000107,E09000005,Brent,E05013499,Cricklewood & Mapesbury,3822.835181
E00003492,E01000718,E02000132,E09000006,Bromley,E05013987,Beckenham Town & Copers Cope,4356.101912
E00004135,E01000849,E02000176,E09000007,Camden,E05013652,Belsize,5735.285406
E00004159,E01000846,E02000179,E09000007,Camden,E05013667,Primrose Hill,2042.582938
E00004164,E01000846,E02000179,E09000007,Camden,E05013667,Primrose Hill,2016.598626
E00004165,E01000847,E02000179,E09000007,Camden,E05013667,Primrose Hill,1735.969332
E00004183,E01000853,E02007115,E09000007,Camden,E05013653,Bloomsbury,3738.119584
E00004184,E01035711,E02000191,E09000007,Camden,E05013653,Bloomsbury,5954.666313
E00004190,E01000855,E02000193,E09000007,Camden,E05013653,Bloomsbury,1281.088348
E00004196,E01000850,E02000191,E09000007,Camden,E05013653,Bloomsbury,3853.483312
E00004202,E01000860,E02000183,E09000007,Camden,E05013667,Primrose Hill,4587.478654
E00004371,E01000891,E02000172,E09000007,Camden,E05013658,Gospel Oak,4730.77703
E00004400,E01000890,E02000172,E09000007,Camden,E05013658,Gospel Oak,5006.667438
E00004428,E01000895,E02000167,E09000007,Camden,E05013659,Hampstead Town,7137.735799
E00004459,E01000905,E02000177,E09000007,Camden,E05013660,Haverstock,4747.957897
E00004537,E01000920,E02000192,E09000007,Camden,E05013662,Holborn & Covent Garden,6675.818987
E00004538,E01000917,E02000192,E09000007,Camden,E05013662,Holborn & Covent Garden,5357.370228
E00004555,E01000915,E02000192,E09000007,Camden,E05013662,Holborn & Covent Garden,4558.897972
E00004628,E01000935,E02000185,E09000007,Camden,E05013665,Kilburn,3141.80691
E00004628,E01000935,E02000185,E09000007,Camden,E05013670,South Hampstead,166.350976
E00004645,E01000930,E02000185,E09000007,Camden,E05013665,Kilburn,3624.706454
E00004667,E01000942,E02007115,E09000007,Camden,E05013653,Bloomsbury,4.491629686
E00004667,E01000942,E02007115,E09000007,Camden,E05013666,King's Cross,2549.707804
E00004713,E01000949,E02000188,E09000007,Camden,E05013668,Regent's Park,4347.022823
E00004720,E01000949,E02000188,E09000007,Camden,E05013668,Regent's Park,4035.340043
E00004728,E01000956,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,3650.825633
E00004730,E01000955,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,4369.075638
E00004760,E01000954,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,4989.946904
E00004765,E01035709,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,8279.773602
E00004789,E01000960,E02000182,E09000007,Camden,E05013670,South Hampstead,4822.517885
E00005746,E01001155,E02000203,E09000008,Croydon,E05011464,Bensham Manor,1.389760401
E00005746,E01001155,E02000203,E09000008,Croydon,E05011486,Thornton Heath,6094.355502
E00007087,E01001427,E02000306,E09000010,Enfield,E05013679,Edmonton Green,5701.910357
E00007401,E01033151,E02000301,E09000010,Enfield,E05013685,Lower Edmonton,3335.118991
E00007594,E01001528,E02000308,E09000010,Enfield,E05013686,New Southgate,4810.915261
E00008437,E01001692,E02000313,E09000011,Greenwich,E05014090,Thamesmead Moorings,3575.148101
E00008470,E01001698,E02000327,E09000011,Greenwich,E05014093,Woolwich Common,7009.378646
E00008488,E01001701,E02000327,E09000011,Greenwich,E05014093,Woolwich Common,2602.731945
E00008505,E01001712,E02006994,E09000011,Greenwich,E05014094,Woolwich Dockyard,7097.191035
E00008540,E01035639,E02000346,E09000012,Hackney,E05009387,Woodberry Down,7380.101947
E00009831,E01001957,E02000373,E09000013,Hammersmith and Fulham,E05013752,White City,7283.041909
