ward_code,ward_name,la_gsscode,la_distric
E09000001,City of London,E09000001,City of London
E05014068,Thames View,E09000002,Barking and Dagenham
E05014055,Barking Riverside,E09000002,Barking and Dagenham
E05014061,Gascoigne,E09000002,Barking and Dagenham
E05014053,Abbey,E09000002,Barking and Dagenham
E05014056,Beam,E09000002,Barking and Dagenham
E05014060,Eastbury,E09000002,Barking and Dagenham
E05014062,Goresbrook,E09000002,Barking and Dagenham
E05014066,Northbury,E09000002,Barking and Dagenham
E05014070,Village,E09000002,Barking and Dagenham
E05014064,Longbridge,E09000002,Barking and Dagenham
E05014065,Mayesbrook,E09000002,Barking and Dagenham
E05014054,Alibon,E09000002,Barking and Dagenham
E05014067,Parsloes,E09000002,Barking and Dagenham
E05014057,Becontree,E09000002,Barking and Dagenham
E05014069,Valence,E09000002,Barking and Dagenham
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham
E05014063,Heath,E09000002,Barking and Dagenham
E05014071,Whalebone,E09000002,Barking and Dagenham
E05014058,Chadwell Heath,E09000002,Barking and Dagenham
E05013634,Cricklewood,E09000003,Barnet
E05013631,Childs Hill,E09000003,Barnet
E05013649,West Hendon,E09000003,Barnet
E05013642,Golders Green,E09000003,Barnet
E05013641,Garden Suburb,E09000003,Barnet
E05013633,Colindale South,E09000003,Barnet
E05013643,Hendon,E09000003,Barnet
E05013636,East Finchley,E09000003,Barnet
E05013632,Colindale North,E09000003,Barnet
E05013639,Finchley Church End,E09000003,Barnet
E05013630,Burnt Oak,E09000003,Barnet
E05013648,West Finchley,E09000003,Barnet
E05013651,Woodhouse,E09000003,Barnet
E05013640,Friern Barnet,E09000003,Barnet
E05013645,Mill Hill,E09000003,Barnet
E05013637,Edgware,E09000003,Barnet
E05013650,Whetstone,E09000003,Barnet
E05013629,Brunswick Park,E09000003,Barnet
E05013646,Totteridge & Woodside,E09000003,Barnet
E05013638,Edgwarebury,E09000003,Barnet
E05013647,Underhill,E09000003,Barnet
E05013635,East Barnet,E09000003,Barnet
E05013628,Barnet Vale,E09000003,Barnet
E05013644,High Barnet,E09000003,Barnet
E05011221,Blendon & Penhill,E09000004,Bexley
E05011233,West Heath,E09000004,Bexley
E05011225,Erith,E09000004,Bexley
E05011229,St Mary's & St James,E09000004,Bexley
E05011217,Barnehurst,E09000004,Bexley
E05011227,Longlands,E09000004,Bexley
E05011220,Blackfen & Lamorbey,E09000004,Bexley
E05011230,Sidcup,E09000004,Bexley
E05011226,Falconwood & Welling,E09000004,Bexley
